,proj_id,regis_id,regis_date,cancel_date,proj_name_th,proj_name_en,proj_abbr_name,fund_status,unique_id,permit_us_investment,invest_country_flag,proj_retail_type,proj_term_flag,proj_term_dd,proj_term_mm,proj_term_yy,risk_spectrum,risk_spectrum_desc,fund_suitable_desc,spec_code,spec_desc
0,M0020_2539,014_2540,1997-07-18,-,กองทุนเปิด อเบอร์ดีน โกรท,abrdn Growth Fund,ABG,RG,C0000000290,,3,R,N,,,,,,,,
1,M0027_2541,004_2541,1998-04-09,-,กองทุนเปิด อเบอร์ดีน แคช ครีเอชั่น,abrdn Cash Creation Fund,ABCC,RG,C0000000290,,4,R,N,,,,,มีนโยบายลงทุนแบบมีความเสี่ยงต่างประเทศบางส่วนแต่ไม่เกินร้อยละ 19.99 ของ NAV โดยลงทุนเฉพาะในทรัพย์สินเงินฝากหรือตราสารเทียบเท่าเงินฝากหรือตราสารหนี้หรือหลักทรัพย์หรือทรัพย์สินอื่นหรือการหาดอกผลอื่นตามที่สำนักงาน ก.ล.ต. กำหนด ซึ่งมีกำหนดชำระคืนเมื่อทวงถามหรือจะครบกำหนดชำระคืนหรือมีอายุสัญญาไม่เกิน 397 วัน นับแต่วันที่ลงทุนในทรัพย์สินหรือเข้าทำสัญญานั้น และมี portfolio duration ในขณะใด ๆ ไม่เกิน 92 วัน,<p>- ผู้ลงทุนที่คาดหวังผลตอบแทนที่ใกล้เคียงเงินฝาก และยอมรับผลตอบแทนที่อาจต่ำกว่ากองทุนรวมตราสารหนี้ทั่วไปได้</p><p>- ผู้ลงทุนที่ต้องการสภาพคล่องในการซื้อขายไถ่ถอนหน่วยลงทุนได้ทุกวันทำการ โดยจะได้รับเงินคืนภายในวันที่ T+1</p><p>- ผู้ลงทุนที่ต้องการการลงทุนที่มีความเสี่ยงต่ำ</p> - ผู้ลงทุนที่ต้องการสภาพคล่องสูง,MM,กองทุนรวมตลาดเงิน
2,M0035_2547,013_2547,2004-03-02,-,กองทุนเปิด อเบอร์ดีน สยามลีดเดอร์ส,abrdn Siam Leaders Fund,ABSL,RG,C0000000290,,3,R,N,,,,,<p>มี net exposure ในตราสารทุนเป็นหลักโดนเฉลี่ยรอบปีบัญชีไม่น้อยกว่าร้อยละ 80 ของ NAV</p>,"<p>- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้</p><p>
- ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป<br> </p>",,
3,M0041_2554,MF0125_2554,2011-03-16,-,กองทุนเปิด อเบอร์ดีน อินเดีย โกรท ฟันด์,abrdn India Growth Fund,ABIG,RG,C0000000290,,1,R,N,,,,,มี net exposure ในตราสารทุนเป็นหลักโดยเฉลี่ยรอบปีบัญชีไม่น้อยกว่่าร้อยละ 80 ของ NAV,"<p>- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้นหรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้</p><p>
- ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป</p>",FED,กองทุนรวมฟีดเดอร์
4,M0045_2564,MF0123_2564,2021-04-07,-,กองทุนเปิด อเบอร์ดีน โกลบอล สมอลแค็พ ฟันด์,abrdn Global Small Cap Fund,ABGS-M,RG,C0000000290,,1,R,N,,,,,มี net exposure ในตราสารทุนเป็นหลักโดยเฉลี่ยรอบปีบัญชีไม่น้อยกว่าร้อยละ 80 ของ NAV,"- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br>
- ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน  ตราสารหนี้ทั่วไป<br>
","FED,SSF","กองทุนรวมฟีดเดอร์,กองทุนรวมเพื่อการออม "
5,M0065_2549,071_2549,2006-03-29,-,กองทุนเปิด อเบอร์ดีน โกลบอล ซัสเทนเนเบิล เอคควิตี้ ฟันด์,abrdn Global Sustainable Equity Fund,ABWOOF,RG,C0000000290,,1,R,N,,,,,มี net exposure ในตราสารทุนเป็นหลักโดยเฉลี่ยรอบปีบัญชีไม่น้อยกว่าร้อยละ 80 ของ NAV,"<p>- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้</p><p>
- ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป</p>",FED,กองทุนรวมฟีดเดอร์
6,M0066_2546,022_2546,2003-05-08,-,กองทุนเปิด อเบอร์ดีน เฟล็กซิเบิ้ลแคปปิตอล,abrdn Flexible Capital Fund,ABFC,RG,C0000000290,,4,R,N,,,,,มี net exposure ได้ทั้งในตราสารทุน ตราสารหนี้ หรือทรัพย์สินทางเลือก,<p>- ผู้ลงทุนที่ต้องการกระจายการลงทุนไปยังตราสารแห่งทุนและตราสารแห่งหนี้เพื่อต้องการผลตอบแทนที่ดีจากการลงทุนในระยะปานกลางถึงระยะยาว</p>,,
7,M0071_2546,029_2546,2003-07-04,-,กองทุนเปิด อเบอร์ดีน ไทย เอคควิตี้ ดีวิเด็น,abrdn Thai Equity Dividend Fund,ABTED,RG,C0000000290,,3,R,N,,,,,<p>มี net exposure&nbsp; ในตราสารทุนเป็นหลักโดยเฉลี่ยรอบปีบัญชีไม่น้อยกว่าร้อยละ 80 ของ NAV</p>,<p>- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้</p><p>- ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป</p>,,
8,M0140_2545,063_2545,2002-11-12,-,กองทุนเปิด อเบอร์ดีน สมาร์ทแคปปิตอลเพื่อการเลี้ยงชีพ,abrdn Smart Capital Retirement Mutual Fund,ABSC-RMF,RG,C0000000290,,3,R,N,,,,,<p>มี net exposure ในตราสารทุนเป็นหลักโดยเฉลี่ยรอบปีบัญชีไม่น้อยกว่าร้อยละ 80 ของ NAV</p>,<p>- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้</p><p> - ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาวโดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป</p><p>- ผู้ลงทุนที่สามารถลงทุนในระยะกลางถึงระยะยาวเพื่อการเกษียณอายุ โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป และผู้ลงทุนสามารถนำเงินลงทุนไปคำนวณลดหย่อนภาษีเงินได้บุคคลธรรมดาได้ตามเงื่อนไขของกรมสรรพากร</p>,RMF,กองทุนรวมเพื่อการเลี้ยงชีพ
9,M0141_2545,064_2545,2002-11-12,-,กองทุนเปิด อเบอร์ดีน สมาร์ทอินคัมเพื่อการเลี้ยงชีพ,abrdn Smart Income Retirement Mutual Fund,ABSI-RMF,RG,C0000000290,,4,R,N,,,,,มี net exposure ในเงินฝากหรือตราสารเทียบเท่าเงินฝากหรือตราสารหนี้ทั่วไปในขณะใด ๆ ไม่น้อยกว่าร้อยละ 80 ของ NAV,"<p>
- ผู้ลงทุนที่คาดหวังผลตอบแทนที่สูงกว่าเงินฝาก และยอมรับผลตอบแทนที่อาจต่ำกว่าหุ้นได้ </p>
<p>- ผู้ลงทุนที่สามารถลงทุนในระยะยาวเพื่อการเกษียณอายุ และยอมรับผลตอบแทนที่อาจต่ำกว่ากองทุนรวมตราสารทุน</p><p>
- ผู้ลงทุนที่ต้องการสภาพคล่องในการซื้อขายไถ่ถอนหน่วยลงทุนได้ทุกวันทำการ โดยจะได้รับเงินคืนภายในวันที่ T+2</p>",RMF,กองทุนรวมเพื่อการเลี้ยงชีพ
