,proj_id,regis_id,regis_date,cancel_date,proj_name_th,proj_name_en,proj_abbr_name,fund_status,unique_id,permit_us_investment,invest_country_flag,proj_retail_type,proj_term_flag,proj_term_dd,proj_term_mm,proj_term_yy,risk_spectrum,risk_spectrum_desc,fund_suitable_desc,spec_code,spec_desc
0,M0253_2563,MF0222_2563,2020-08-14,-,กองทุนเปิด เอไอเอ อินคัม ฟันด์,AIA Income Fund,AIA-IC,RG,C0000031161,,4,R,N,,,,,ความเสี่ยงปานกลางค่อนข้างต่ำ,"<p><font>-&nbsp;ผู้ถือหน่วยลงทุนที่ต้องการลงทุนในตราสารหนี้ระยะสั้น ถึงยาว ทั้งในและต่างประเทศ&nbsp; <br>
- ผู้ลงทุนที่คาดหวังผลตอบแทนที่สูงกว่าเงินฝาก และยอมรับผลตอบแทนที่อาจต่ำกว่าหุ้นได้&nbsp;</font></p><p><font></font>- ผู้ลงทุนที่ต้องการสภาพคล่องในการซื้อขายไถ่ถอนหน่วยลงทุนได้ทุกวันทำการ โดยจะได้รับเงินคืนภายในวันที่ T+2</p>
<p>
</p>
<p><br></p>
<br>
<br>
<br>",,
1,M0307_2563,MF0221_2563,2020-08-14,-,กองทุนเปิด เอไอเอ เอ็นแฮนซ์ เซท 50,AIA Enhanced SET50,AIA-ES50,RG,C0000031161,,3,R,N,,,,,<font>เสี่ยงสูง</font>,"<font><br>
- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br>
- ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน  ตราสารหนี้ทั่วไป</font><br>
",,
2,M0331_2563,MF0220_2563,2020-08-14,-,กองทุนเปิด เอไอเอ ไทย อิควิตี้ ดิสคัฟเวอรี่,AIA Thai Equity Discovery,AIA-THDIS,RG,C0000031161,,3,R,N,,,,,<p><span>เสี่ยงสูง</span></p>,"<font>- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br>
- ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน  ตราสารหนี้ทั่วไป</font><br>
<br>
<br>
",,
3,M0335_2563,MF0219_2563,2020-08-14,-,กองทุนเปิด เอไอเอ ไทย อิควิตี้,AIA Thai Equity,AIA-TEQ,RG,C0000031161,,3,R,N,,,,,<p><font>เสี่ยงสูง</font></p>,"<font>- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br>
- ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน  ตราสารหนี้ทั่วไป</font><br>
<br>
<br>
",,
4,M0342_2563,MF0223_2563,2020-08-14,-,กองทุนเปิด เอไอเอ ตราสารหนี้ระยะสั้น,AIA Short Term Fixed Income,AIA-ST,RG,C0000031161,,4,R,N,,,,,<p><span>เสี่ยงปานกลางค่อนข้างต่ำ</span></p>,"<p style=""text-align: left; margin-left: 27pt;""><font>- ผู้ถือหน่วยลงทุนที่ต้องการลงทุนในตราสารหนี้ระยะสั้นทั้งในและต่างประเทศ </font></p>
<p style=""text-align: left; margin-left: 27pt;""><font>- ผู้ลงทุนที่คาดหวังผลตอบแทนที่สูงกว่าเงินฝาก และยอมรับผลตอบแทนที่อาจต่ำกว่าหุ้นได้ </font></p>
<p style=""text-align: left; margin-left: 27pt;""><font>- ผู้ลงทุนที่ต้องการสภาพคล่องในการซื้อขายไถ่ถอนหน่วยลงทุนได้ทุกวันทำการ โดยจะได้รับเงินคืนภายในวันที่ T+1</font></p>
<p><font>&nbsp;</font></p>
<br>
<br>
<br>
",,
5,M0348_2563,MF0369_2563,2020-12-01,-,กองทุนเปิด เอไอเอ โกลบอล คอนเวนชั่นนอล อโลเคชั่น ฟันด์,AIA Global Conventional Allocation Fund,AIA-GCA,RG,C0000031161,,1,R,N,,,,,<p>เสี่ยงปานกลางค่อนข้างสูง</p>,"<p align=""LEFT"" style=""text-align: left;""><span>&nbsp;- เหมาะสมกับผู้ลงทุนที่ยอมรับความเสี่ยงจากการลงทุนในหลักทรัพย์ประเภทหน่วยลงทุนของกองทุนรวมต่างประเทศ และ/หรือ<span>กองทุนรวมอีทีเอฟต่างประเทศ และ/หรือกองทุนรวมอสังหาริมทรัพย์ต่างประเทศ และ/หรือทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์<span>ต่างประเทศ และ/หรือกองทุนรวมโครงสร้างพื้นฐานต่างประเทศ ที่กองทุนไปลงทุน ซึ่งอาจปรับตัวเพิ่มสูงขึ้นหรือลดลงต่ำกว่าที่<span>ลงทุนและทำให้ขาดทุนได้</span></span></span></span></p><p align=""LEFT"" style=""text-align: left;""><span><span><span><span>- ผู้ลงทุนที่สามารถรับความเสี่ยงด้านอัตราแลกเปลี่ยนเงินตราต่างประเทศได้</span></span></span></span></p><p align=""LEFT"" style=""text-align: left;""><span><span><span><span>-&nbsp;ผู้ลงทุนที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป</span></span></span></span></p>",FF,กองทุนรวมหน่วยลงทุน (Fund of Funds)
6,M0351_2563,MF0368_2563,2020-12-01,-,กองทุนเปิด เอไอเอ โกลบอล โมเดอเรท อโลเคชั่น ฟันด์,AIA Global Moderate Allocation Fund,AIA-GMA,RG,C0000031161,,1,R,N,,,,, <p><span>ความเสี่ยงปานกลางค่อนข้างสูง</span></p> <br>," <p style=""text-align: left; margin-bottom: 0pt;""><span>&nbsp;- เหมาะสมกับผู้ลงทุนที่ยอมรับความเสี่ยงจากการลงทุนในหลักทรัพย์ประเภทหน่วยลงทุนของกองทุนรวมต่างประเทศ และ/หรือกองทุนรวมอีทีเอฟต่างประเทศ และ/หรือกองทุนรวมอสังหาริมทรัพย์ต่างประเทศ และ/หรือทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์ต่างประเทศ และ/หรือกองทุนรวมโครงสร้างพื้นฐานต่างประเทศ ที่กองทุนไปลงทุน ซึ่งอาจปรับตัวเพิ่มสูงขึ้นหรือลดลงต่ำกว่าที่ลงทุนและทำให้ขาดทุนได้</span></p> <p style=""text-align: left; margin-bottom: 0pt;""><span>- ผู้ลงทุนที่สามารถรับความเสี่ยงด้านอัตราแลกเปลี่ยนเงินตราต่างประเทศได้</span></p><p style=""text-align: left; margin-bottom: 0pt;""><span><span>-&nbsp;ผู้ลงทุนที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป</span></span></p> <p style=""text-align: left;""><span>&nbsp;</span></p> <br>",FF,กองทุนรวมหน่วยลงทุน (Fund of Funds)
7,M0354_2563,MF0367_2563,2020-12-01,-,กองทุนเปิด เอไอเอ โกลบอล แอกเกรสซีฟ อโลเคชั่น ฟันด์,AIA Global Aggressive Allocation Fund,AIA-GAA,RG,C0000031161,,1,R,N,,,,,"<p style=""text-align: left;""><font>ความเสี่ยงสูง</font></p>
<br>"," <p style=""text-align: left; margin-bottom: 0pt;""><span>&nbsp;- เหมาะสมกับผู้ลงทุนที่ยอมรับความเสี่ยงจากการลงทุนในหลักทรัพย์ประเภทหน่วยลงทุนของกองทุนรวมต่างประเทศ และ/หรือกองทุนรวมอีทีเอฟต่างประเทศ และ/หรือกองทุนรวมอสังหาริมทรัพย์ต่างประเทศ และ/หรือทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์ต่างประเทศ และ/หรือกองทุนรวมโครงสร้างพื้นฐานต่างประเทศ ที่กองทุนไปลงทุน ซึ่งอาจปรับตัวเพิ่มสูงขึ้นหรือลดลงต่ำกว่าที่ลงทุนและทำให้ขาดทุนได้</span></p> <p style=""text-align: left; margin-bottom: 0pt;""><span>- ผู้ลงทุนที่สามารถรับความเสี่ยงด้านอัตราแลกเปลี่ยนเงินตราต่างประเทศได้</span></p><p style=""text-align: left; margin-bottom: 0pt;""><span>-&nbsp;ผู้ลงทุนที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป</span></p> <p style=""text-align: left;""><span>&nbsp;</span></p> <br>",FF,กองทุนรวมหน่วยลงทุน (Fund of Funds)
8,M0472_2563,MF0110_2564,2021-03-29,-,กองทุนเปิด เอไอเอ ยูเอส 500 อิควิตี้ ฟันด์,AIA US500 Equity  Fund,AIA-US500,RG,C0000031161,,1,R,N,,,,,ความเสี่ยงสูง,"<p>- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้</p><p style=""margin-bottom: 0pt;""><font>- </font><font>ผู้ลงทุนที่สามารถรับความเสี่ยงด้านอัตราแลกเปลี่ยนเงินตราต่างประเทศได้</font></p><p> - ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน  ตราสารหนี้ทั่วไป</p><br>",FED,กองทุนรวมฟีดเดอร์
9,M0485_2566,MF0508_2566,2023-12-06,-,กองทุนเปิด เอไอเอ โกลบอล ซีเล็ค อิควิตี้ ฟันด์,AIA Global Select Equity Fund,AIA-SEL,RG,C0000031161,,1,R,N,,,,,,,FED,กองทุนรวมฟีดเดอร์
