,proj_id,regis_id,regis_date,cancel_date,proj_name_th,proj_name_en,proj_abbr_name,fund_status,unique_id,permit_us_investment,invest_country_flag,proj_retail_type,proj_term_flag,proj_term_dd,proj_term_mm,proj_term_yy,spec_code,spec_desc,risk_spectrum,risk_spectrum_desc,fund_suitable_desc
0,M0016_2563,MF0077_2563,2020-04-08,-,กองทุนเปิดบีแคป หุ้นยูเอส เอ็นดี 100,BCAP US Equity ND 100 Fund,BCAP-USND100,RG,C0000021747,,1,R,N,,,,FED,กองทุนรวมฟีดเดอร์,,,"<p style=""text-align: left;"">•<font> </font>ผู้ลงทุนที่ต้องการรับผลตอบแทนจากการการลงทุนในหุ้นสหรัฐอเมริกา</p>
<p style=""text-align: left;"">•<font> </font>ผู้ลงทุนที่สามารถรับความผันผวนของราคาตราสารทุนที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้&nbsp;</p>
<p style=""text-align: left;"">•<font> </font>ผู้ลงทุนที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป<br></p><br>"
1,M0022_2565,MF0138_2565,2022-05-11,-,กองทุนเปิดบีแคป โกลบอล ไพรเวท อิควิตี้ 22A ห้ามขายผู้ลงทุนรายย่อย,BCAP Global Private Equity 22A Fund Not for Retail Investors,BCAP-GPE22A UI,RG,C0000021747,,1,X,Y,0 ,0 ,15,,,,,"•	ผู้ลงทุนที่สามารถรับความผันผวนของราคาตราสารทุนที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ 
<br>•	ผู้ลงทุนที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป
<br>"
2,M0037_2563,MF0280_2563,2020-10-09,-,กองทุนเปิดบีแคป โกลบอล ทาร์เก็ต เดท 2030 เพื่อการเลี้ยงชีพ,BCAP Global Target Date 2030 Retirement Mutual Fund,BCAP-2030 RMF,RG,C0000021747,,4,R,N,,,,"FF,RMF","กองทุนรวมหน่วยลงทุน (Fund of Funds),กองทุนรวมเพื่อการเลี้ยงชีพ",,,"•	ผู้ลงทุนที่ต้องการลงทุนแบบผูกพันระยะยาวเพื่อการเลี้ยงชีพหลังเกษียณอายุในช่วงประมาณปี ค.ศ. 2025 – 2035 และเนื่องจากเป็นกองทุนรวมเพื่อการเลี้ยงชีพ ผู้ลงทุนจึงควรลงทุนต่อเนื่องเป็นระยะเวลาไม่น้อยกว่า 5 ปี จนครบอายุ 55 ปีบริบูรณ์ เพื่อสิทธิประโยชน์ทางภาษี<br>
•	ผู้ลงทุนที่ต้องการลงทุนโดยกระจายความเสี่ยงไปในทรัพย์สินหลากหลายประเภททั้งในและต่างประเทศ<br>
•	ผู้ลงทุนที่มุ่งหวังผลตอบแทนที่เหมาะสม และสามารถรับความเสี่ยงของตราสารทุนและตราสารหนี้ โดยเข้าใจความผันผวนและรับความเสี่ยงจากการลงทุนในตราสารดังกล่าวได้<br>
•	ผู้ลงทุนที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป"
3,M0041_2563,MF0281_2563,2020-10-09,-,กองทุนเปิดบีแคป โกลบอล ทาร์เก็ต เดท 2040 เพื่อการเลี้ยงชีพ,BCAP Global Target Date 2040 Retirement Mutual Fund,BCAP-2040 RMF,RG,C0000021747,,4,R,N,,,,"FF,RMF","กองทุนรวมหน่วยลงทุน (Fund of Funds),กองทุนรวมเพื่อการเลี้ยงชีพ",,,"<p>•<font> </font>ผู้ลงทุนที่ต้องการลงทุนแบบผูกพันระยะยาวเพื่อการเลี้ยงชีพหลังเกษียณอายุในช่วงประมาณปี ค.ศ. 2036 – 2045 และเนื่องจากเป็นกองทุนรวมเพื่อการเลี้ยงชีพ ผู้ลงทุนจึงควรลงทุนต่อเนื่องเป็นระยะเวลาไม่น้อยกว่า 5 ปี จนครบอายุ 55 ปีบริบูรณ์ เพื่อสิทธิประโยชน์ทางภาษี</p>
<p>•<font> </font>ผู้ลงทุนที่ต้องการลงทุนโดยกระจายความเสี่ยงไปในทรัพย์สินหลากหลายประเภททั้งในและต่างประเทศ</p>
<p>•<font> </font>ผู้ลงทุนที่มุ่งหวังผลตอบแทนที่เหมาะสม และสามารถรับความเสี่ยงของตราสารทุนและตราสารหนี้ โดยเข้าใจความผันผวนและรับความเสี่ยงจากการลงทุนในตราสารดังกล่าวได้</p>
<p>•<font> </font>ผู้ลงทุนที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป</p>"
4,M0042_2563,MF0282_2563,2020-10-09,-,กองทุนเปิดบีแคป โกลบอล ทาร์เก็ต เดท 2050 เพื่อการเลี้ยงชีพ,BCAP Global Target Date 2050 Retirement Mutual Fund,BCAP-2050 RMF,RG,C0000021747,,4,R,N,,,,"FF,RMF","กองทุนรวมหน่วยลงทุน (Fund of Funds),กองทุนรวมเพื่อการเลี้ยงชีพ",,,"<p>•<font> </font>ผู้ลงทุนที่ต้องการลงทุนแบบผูกพันระยะยาวเพื่อการเลี้ยงชีพหลังเกษียณอายุในช่วงประมาณปี ค.ศ. 2046 - 2055  และเนื่องจากเป็นกองทุนรวมเพื่อการเลี้ยงชีพ ผู้ลงทุนจึงควรลงทุนต่อเนื่องเป็นระยะเวลาไม่น้อยกว่า 5 ปี จนครบอายุ 55 ปีบริบูรณ์ เพื่อสิทธิประโยชน์ทางภาษี</p>
<p>•<font> </font>ผู้ลงทุนที่ต้องการลงทุนโดยกระจายความเสี่ยงไปในทรัพย์สินหลากหลายประเภททั้งในและต่างประเทศ</p>
<p>•<font> </font>ผู้ลงทุนที่มุ่งหวังผลตอบแทนที่เหมาะสม และสามารถรับความเสี่ยงของตราสารทุนและตราสารหนี้ โดยเข้าใจความผันผวนและรับความเสี่ยงจากการลงทุนในตราสารดังกล่าวได้</p>
<p>•<font> </font>ผู้ลงทุนที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป</p>"
5,M0050_2558,MF0232_2559,2016-06-02,-,กองทุนเปิด BCAP MSCI THAILAND ETF,BCAP MSCI THAILAND ETF,BMSCITH,RG,C0000021747,,4,R,N,,,,ETF,กองทุนรวมอีทีเอฟ,,,"<p>• ผู้ลงทุนที่คาดหวังให้ผลตอบแทนใกล้เคียงกับผลตอบแทนของดัชนี MSCI Thailand ex Foreign Board Index และสามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุน และทำให้ขาดทุนได้</p>
<p>• ผู้ลงทุนที่สามารถลงทุนในระยะปานกลางจนถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป </p>
<br>"
6,M0056_2564,MF0314_2564,2021-09-27,-,กองทุนเปิดบีแคป โกลบอล มัลติ แอสเซท,BCAP Global Multi Asset Fund,BCAP-GMA,RG,C0000021747,,1,R,N,,,,FF,กองทุนรวมหน่วยลงทุน (Fund of Funds),,,"•	ผู้ลงทุนที่ต้องการลงทุนโดยกระจายความเสี่ยงไปในทรัพย์สินหลากหลายประเทศทั่วโลก
<br>•	ผู้ลงทุนที่สามารถรับความผันผวนของราคาตราสารทุนที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ 
<br>•	ผู้ลงทุนที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป
<br>"
7,M0057_2564,MF0315_2564,2021-09-27,-,กองทุนเปิดบีแคป โกลบอล มัลติ แอสเซท พลัส,BCAP Global Multi Asset Plus Fund,BCAP-GMA PLUS,RG,C0000021747,,1,R,N,,,,FF,กองทุนรวมหน่วยลงทุน (Fund of Funds),,,"•	ผู้ลงทุนที่ต้องการลงทุนโดยกระจายความเสี่ยงไปในทรัพย์สินหลากหลายประเทศทั่วโลก
<br>•	ผู้ลงทุนที่สามารถรับความผันผวนของราคาตราสารทุนที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ 
<br>•	ผู้ลงทุนที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป
<br>"
8,M0068_2563,MF0228_2563,2020-08-18,-,กองทุนเปิดบีแคป โกลบอล เวลท์ 10 เพื่อการออม,BCAP Global Wealth 10 Super Saving Fund,BCAP-GW10 SSF,RG,C0000021747,,4,R,N,,,,"FF,SSF","กองทุนรวมหน่วยลงทุน (Fund of Funds),กองทุนรวมเพื่อการออม ",,,"•	ผู้ลงทุนที่ไม่มีความจำเป็นต้องใช้เงินลงทุนในส่วนนี้อย่างต่อเนื่องเป็นเวลาไม่น้อยกว่า 10 ปี เพื่อที่จะได้รับสิทธิประโยชน์ทางภาษีจากการลงทุนในกองทุนรวมเพื่อการออมตามที่กฎหมายกำหนด
<br>•	ผู้ลงทุนที่ต้องการลงทุนโดยกระจายความเสี่ยงไปในทรัพย์สินหลากหลายประเภททั้งในและต่างประเทศ
<br>•	ผู้ลงทุนที่มุ่งหวังผลตอบแทนที่เหมาะสม และสามารถรับความเสี่ยงของตราสารทุนและตราสารหนี้ โดยเข้าใจความผันผวนและรับความเสี่ยงจากการลงทุนในตราสารดังกล่าวได้
<br>•	ผู้ลงทุนที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป
<br>"
9,M0069_2563,MF0232_2563,2020-08-18,-,กองทุนเปิดบีแคป  โกลบอล เวลท์ 90 เพื่อการออม,BCAP Global Wealth 90 Super Saving Fund,BCAP-GW90 SSF,RG,C0000021747,,4,R,N,,,,"FF,SSF","กองทุนรวมหน่วยลงทุน (Fund of Funds),กองทุนรวมเพื่อการออม ",,,"<p>•<font> </font>ผู้ลงทุนที่ไม่มีความจำเป็นต้องใช้เงินลงทุนในส่วนนี้อย่างต่อเนื่องเป็นเวลาไม่น้อยกว่า 10 ปี เพื่อที่จะได้รับสิทธิประโยชน์ทางภาษีจากการลงทุนในกองทุนรวมเพื่อการออมตามที่กฎหมายกำหนด</p>
<p>•<font> </font>ผู้ลงทุนที่ต้องการลงทุนโดยกระจายความเสี่ยงไปในทรัพย์สินหลากหลายประเภททั้งในและต่างประเทศ</p>
<p>•<font> </font>ผู้ลงทุนที่มุ่งหวังผลตอบแทนที่เหมาะสม และสามารถรับความเสี่ยงของตราสารทุนและตราสารหนี้ โดยเข้าใจความผันผวนและรับความเสี่ยงจากการลงทุนในตราสารดังกล่าวได้</p>
<p>•<font> </font>ผู้ลงทุนที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป</p>"
10,M0070_2563,MF0229_2563,2020-08-18,-,กองทุนเปิดบีแคป โกลบอล เวลท์ 25 เพื่อการออม,BCAP Global Wealth 25 Super Saving Fund,BCAP-GW25 SSF,RG,C0000021747,,4,R,N,,,,"FF,SSF","กองทุนรวมหน่วยลงทุน (Fund of Funds),กองทุนรวมเพื่อการออม ",,<br>,"•	ผู้ลงทุนที่ไม่มีความจำเป็นต้องใช้เงินลงทุนในส่วนนี้อย่างต่อเนื่องเป็นเวลาไม่น้อยกว่า 10 ปี เพื่อที่จะได้รับสิทธิประโยชน์ทางภาษีจากการลงทุนในกองทุนรวมเพื่อการออมตามที่กฎหมายกำหนด
<br>•	ผู้ลงทุนที่ต้องการลงทุนโดยกระจายความเสี่ยงไปในทรัพย์สินหลากหลายประเภททั้งในและต่างประเทศ
<br>•	ผู้ลงทุนที่มุ่งหวังผลตอบแทนที่เหมาะสม และสามารถรับความเสี่ยงของตราสารทุนและตราสารหนี้ โดยเข้าใจความผันผวนและรับความเสี่ยงจากการลงทุนในตราสารดังกล่าวได้
<br>•	ผู้ลงทุนที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป
<br>"
