,proj_id,regis_id,regis_date,cancel_date,proj_name_th,proj_name_en,proj_abbr_name,fund_status,unique_id,permit_us_investment,invest_country_flag,proj_retail_type,proj_term_flag,proj_term_dd,proj_term_mm,proj_term_yy,risk_spectrum,risk_spectrum_desc,fund_suitable_desc,spec_code,spec_desc
0,M0004_2565,MF0053_2565,2022-03-01,-,กองทุนเปิดบัวหลวง Small Mid Equity,Bualuang Small Mid Equity Fund,B-SMEQ,RG,C0000000329,,3,R,N,,,,,กองทุนมี net exposure ในตราสารทุนเป็นหลัก โดยเฉลี่ยรอบปีบัญชีไม่น้อยกว่า 80% ของ NAV ,- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้นหรือลดลง จนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้<br>- ผู้ลงทุนที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป,,
1,M0007_2567,MF0021_2567,2024-01-18,-,กองทุนรวมบัวหลวงธนสารพลัส 2/24 ห้ามขายผู้ลงทุนรายย่อย,Bualuang Thanasarn Plus 2/24 not for Retail Investors,BP2/24 (AI),RG,C0000000329,,1,H,Y,,6 ,,,,,,
2,M0008_2565,MF0077_2565,2022-03-17,-,กองทุนเปิดบัวหลวงหุ้นโกลบอล อินฟราสตรัคเจอร์,Bualuang Global Infrastructure Equity Fund,B-GLOB-INFRA,RG,C0000000329,,1,R,N,,,,,กองทุนมี net exposure ในตราสารทุนต่างประเทศเป็นหลัก โดยเฉลี่ยรอบปีบัญชีไม่น้อยกว่า 80% ของ NAV,"<ul>
    <li>ผู้ลงทุนที่สามารถรับความผันผวนและความเสี่ยงที่เกี่ยวข้องกับการลงทุนในหลักทรัพย์หรือทรัพย์สินในต่างประเทศ
    </li>
    <li>ผู้ลงทุนที่สามารถลงทุนในระยะกลางถึงระยะยาวในหลักทรัพย์ต่างประเทศ โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป
&nbsp;&nbsp;&nbsp; <br></li></ul>",FED,กองทุนรวมฟีดเดอร์
3,M0011_2567,MF0024_2567,2024-01-22,-,กองทุนรวมบัวหลวงธนรัฐ 1/24,Bualuang Thanarat 1/24,B1/24,RG,C0000000329,,3,R,Y,,6 ,,,,,,
4,M0012_2537,035_2537,1994-11-07,-,กองทุนเปิดบัวหลวงโครงสร้างพื้นฐาน,Bualuang Infrastructure Open-end Fund,B-INFRA,RG,C0000000329,,3,R,N,,,,,มี net exposure ในตราสารทุนเป็นหลักโดยเฉลี่ยรอบปีบัญชีไม่น้อยกว่า 80% ของ NAV,- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้นหรือลดลง จนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้<br>- ผู้ลงทุนที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป<br>,,
5,M0013_2537,023_2537,1994-07-15,-,กองทุนเปิดบัวแก้วปันผล,Buakaew Income Fund,BKD,RG,C0000000329,,3,R,N,,,,,มี net exposure ในตราสารทุนเป็นหลักโดยเฉลี่ยรอบปีบัญชีไม่น้อยกว่า 80% ของ NAV,- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้นหรือลดลง จนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้<br>- ผู้ลงทุนที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป<br>,,
6,M0014_2537,028_2537,1994-08-15,-,กองทุนเปิดบัวหลวงธนคม,Bualuang Thanakom Open-end Fund,BTK,RG,C0000000329,,3,R,N,,,,,มี net exposure ในตราสารทุนเป็นหลักโดยเฉลี่ยรอบปีบัญชีไม่น้อยกว่า 80% ของ NAV,-	ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้นหรือลดลง จนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้<br>-	ผู้ลงทุนที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป<br>,,
7,M0015_2537,034_2537,1994-10-07,-,กองทุนเปิดบัวหลวงทศพล,Bualuang Top-Ten Fund,BTP,RG,C0000000329,,3,R,N,,,,,มี net exposure ในตราสารทุนเป็นหลักโดยเฉลี่ยรอบปีบัญชีไม่น้อยกว่า 80% ของ NAV,"- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้นหรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้<br>
-	ผู้ลงทุนที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป<br>",,
8,M0023_2547,041_2547,2004-06-03,-,กองทุนเปิดบีแอ็คทีฟ,B-active Open-end Fund,B-ACTIVE,RG,C0000000329,,3,R,N,,,,,มี net exposure ได้ทั้งในตราสารทุน ตราสารหนี้หรือทรัพย์สินทางเลือก,เหมาะสมกับเงินลงทุนของผู้ลงทุนในส่วนที่สามารถรับความเสี่ยงได้ในระดับปานกลางค่อนข้างสูง โดยหวังผลตอบแทนที่กองทุนจะได้รับจากเงินปันผล หรือกำไรส่วนเกินทุนจากการลงทุนในตราสารแห่งทุน รวมทั้งผลตอบแทนที่กองทุนจะได้รับจากดอกเบี้ยหรือกำไรส่วนเกินทุนจากการลงทุนในตราสารแห่งหนี้,,
9,M0024_2537,012_2537,1994-03-04,-,กองทุนเปิดบัวแก้ว 2,Buakaew 2 Open-end Fund,BKA2,RG,C0000000329,,3,R,N,,,,,มี net exposure ในตราสารทุนเป็นหลักโดยเฉลี่ยรอบปีบัญชีไม่น้อยกว่า 80% ของ NAV,"- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้นหรือลดลง จนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้<br>
- ผู้ลงทุนที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป
<br>",,
10,M0029_2564,MF0076_2564,2021-03-10,-,กองทุนเปิดบัวหลวงยั่งยืน,Bualuang Sustainable Investing Portfolio,B-SIP,RG,C0000000329,,1,R,N,,,,,กองทุนมี net exposure ในตราสารทุนต่างประเทศเป็นหลัก โดยเฉลี่ยรอบปีบัญชีไม่น้อยกว่า 80% ของ NAV,"<ul>
    <li>ผู้ลงทุนที่สามารถรับความผันผวนและความเสี่ยงที่เกี่ยวข้องกับการลงทุนในหลักทรัพย์หรือทรัพย์สินในต่างประเทศ
    </li>
    <li>ผู้ลงทุนที่สามารถลงทุนในระยะกลางถึงระยะยาวในหลักทรัพย์ต่างประเทศ โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป
&nbsp;&nbsp;&nbsp; <br></li></ul>",FF,กองทุนรวมหน่วยลงทุน (Fund of Funds)
11,M0030_2560,MF0314_2560,2017-08-01,-,กองทุนรวมโครงสร้างพื้นฐานโรงไฟฟ้ากลุ่มน้ำตาลบุรีรัมย์,Buriram Sugar Group Power Plant Infrastruture Fund,BRRGIF,RG,C0000000329,,3,R,N,,,,,,,,
