,proj_id,regis_id,regis_date,cancel_date,proj_name_th,proj_name_en,proj_abbr_name,fund_status,unique_id,permit_us_investment,invest_country_flag,proj_retail_type,proj_term_flag,proj_term_dd,proj_term_mm,proj_term_yy,spec_code,spec_desc,risk_spectrum,risk_spectrum_desc,fund_suitable_desc
0,M0008_2564,MF0062_2564,2021-02-25,-,กองทุนเปิด ดาโอ นิว ทรานซิชั่น เอนเนอร์จี,DAOL NEW TRANSITION ENERGY FUND,DAOL-TENERGY,RG,C0000028866,,1,R,N,,,,FED,กองทุนรวมฟีดเดอร์,,ความเสี่ยงสูง,•<span> </span>ผู้ลงทุนที่สามารถรับความผันผวนของราคาหน่วยลงทุนที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp;<br>•<span> </span>ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนจากการลงทุนในหุ้นของบริษัทที่เกี่ยวข้องกับการเปลี่ยนแปลงด้านพลังงานเป็นหลัก
1,M0014_2565,MF0022_2565,2022-01-27,-,กองทุนเปิด ดาโอ ตราสารหนี้ 6M3 ห้ามขายผู้ลงทุนรายย่อย,DAOL BOND FUND 6M3 NOT FOR RETAIL INVESTORS,DAOL-BOND6M3,RG,C0000028866,,4,A,N,,,,,,,ความเสี่ยงปานกลางค่อนข้างต่ำ,•<span> </span>ผู้ลงทุนที่คาดหวังผลตอบแทนที่สูงกว่าเงินฝาก และยอมรับผลตอบแทนที่อาจต่ำกว่าหุ้นได้<br>•<span> </span>ผู้ลงทุนที่มิใช่รายย่อย (Accredited Investors) ที่ยอมรับความเสี่ยงของการลงทุนในตราสารหนี้ที่มีอันดับความน่าเชื่อถือต่ำกว่าที่สามารถลงทุนได้ (Non-Investment Grade) และตราสารหนี้ที่ไม่ได้รับการจัดอันดับความน่าเชื่อถือ (Unrated Securities) ได้ในระดับสูง
2,M0014_2566,MF0474_2566,2023-11-17,-,กองทุนเปิด ดาโอ อัลฟ่า บอนด์ ,DAOL ALPHA BONDS FUND,DAOL-ALPHABONDS,RG,C0000028866,,1,R,N,,,,FED,กองทุนรวมฟีดเดอร์,,,
3,M0027_2563,MF0059_2563,2020-03-12,-,กองทุนเปิด ดาโอ โทเทิล รีเทิร์น บอนด์,DAOL TOTAL RETURN BOND FUND,DAOL-TRBOND,RG,C0000028866,,1,R,N,,,,FED,กองทุนรวมฟีดเดอร์,,ความเสี่ยงปานกลางค่อนข้างต่ำ,•<span> </span>ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวผ่านการลงทุนในตราสารหนี้<br>ทั่วโลก<br>•<span> </span>ผู้ลงทุนที่คาดหวังผลตอบแทนที่สูงกว่าเงินฝาก และยอมรับผลตอบแทนที่อาจต่ำกว่าหุ้นได้<br>•<span> </span>กองทุนเปิด วี โทเทิล รีเทิร์น บอนด์ มีการแบ่งชนิดของหน่วยลงทุนเป็น 2 ชนิด โดยหน่วยลงทุนชนิดไม่จ่ายเงินปันผล เหมาะสำหรับผู้ลงทุนที่ต้องการรับรายได้จากส่วนต่างจากการลงทุน โดยกองทุนจะนำผลประโยชน์จากการลงทุนไปลงทุนต่อ
4,M0055_2564,MF0128_2564,2021-04-09,-,กองทุนเปิด ดาโอ ดีเวลลอปปิ้ง เวิลด์,DAOL DEVELOPING WORLD FUND,DAOL-DEWORLD,RG,C0000028866,,1,R,N,,,,FED,กองทุนรวมฟีดเดอร์,,ความเสี่ยงสูง,"•<font> </font>ผู้ลงทุนที่สามารถรับความผันผวนของราคาหน่วยลงทุนที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp;<br>
•<font> </font>ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวจากการลงทุนในหุ้นของบริษัทซึ่งตั้งอยู่ในหรือมีความเชื่อมโยงทางเศรษฐกิจกับประเทศกำลังพัฒนา (Developing World)<br>
"
5,M0078_2563,MF0050_2565,2022-02-28,-,กองทุนเปิด ดาโอ ยุโรป 8M,DAOL EUROPE 8M FUND,DAOL-EUROPE8M,RG,C0000028866,,1,R,N,,,,FF,กองทุนรวมหน่วยลงทุน (Fund of Funds),,ความเสี่ยงสูง,•<span> </span>ผู้ลงทุนที่ต้องการกระจายการลงทุนไปยังหลักทรัพย์ในภูมิภาคยุโรป และต้องการโอกาสผลตอบแทนจากการลงทุนในต่างประเทศ โดยผู้ลงทุนเข้าใจว่ามูลค่าหน่วยลงทุนเป้าหมายไม่ใช่การรับประกันผลตอบแทนจากการลงทุน และไม่สามารถขายหน่วยลงทุนคืนได้ในช่วงเวลา 8 เดือน<br>•<span> </span>ผู้ลงทุนที่สามารถรับความผันผวนของราคาหน่วยลงทุนที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp;<br>•<span> </span>ผู้ลงทุนที่คาดหวังผลตอบแทนในการลงทุนระยะสั้นจากการจับจังหวะตลาด (market timing)
6,M0104_2564,MF0157_2564,2021-05-13,-,กองทุนเปิด ดาโอ แคนนาบิส บิสสิเนส,DAOL CANNABIS BUSINESS FUND,DAOL-CANAB,RG,C0000028866,,1,R,N,,,,FF,กองทุนรวมหน่วยลงทุน (Fund of Funds),,ความเสี่ยงสูง,"•<font> </font>ผู้ลงทุนที่สามารถรับความผันผวนของราคาหน่วยลงทุนที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp;<br>
•<font> </font>ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวจากการลงทุนในบริษัทที่ดำเนินธุรกิจหรือได้รับประโยชน์จากการเติบโตทางธุรกิจที่เกี่ยวข้องกับอุตสาหกรรมกัญชาอย่างถูกกฎหมายทั่วโลก<br>
"
7,M0105_2562,MF0128_2562,2019-03-20,-,กองทุนเปิด ดาโอ มันนี่ มาร์เก็ต,DAOL MONEY MARKET FUND,DAOL-MONEY,RG,C0000028866,,4,R,N,,,,MM,กองทุนรวมตลาดเงิน,,ความเสี่ยงต่ำ,"<font>•<span> </span>ผู้ลงทุนที่คาดหวังผลตอบแทนที่ใกล้เคียงเงินฝาก และยอมรับผลตอบแทนที่อาจต่ำกว่ากองทุนรวมตราสารหนี้ทั่วไปได้<br>•<span> </span>ผู้ลงทุนที่ต้องการสภาพคล่องสูง<br>•<span> </span>ผู้ลงทุนที่ต้องการการลงทุนที่มีความเสี่ยงต่ำ<br>•<span> </span>กองทุนเปิด วี มันนี่ มาร์เก็ต มีการแบ่งชนิดของหน่วยลงทุนเป็น 2 ชนิด โดยหน่วยลงทุนชนิดผู้ลงทุนทั่วไป (R) เหมาะสำหรับผู้ลงทุนทั่วไป ที่สามารถลงทุนขั้นต่ำตั้งแต่ 5,000 บาทขึ้นไป สำหรับการสั่งซื้อครั้งแรก และลงทุนขั้นต่ำ 1 บาทขึ้นไป สำหรับการสั่งซื้อครั้งถัดไป</font>"
8,M0105_2563,MF0139_2563,2020-05-28,-,กองทุนเปิด ดาโอ โกลบอล อินโนเวทีฟ เฮลธ์แคร์,DAOL GLOBAL INNOVATIVE HEALTHCARE FUND,DAOL-GIHEALTH,RG,C0000028866,,1,R,N,,,,"FF,SE","กองทุนรวมหน่วยลงทุน (Fund of Funds),กองทุนรวมหมวดอุตสาหกรรม",,ความเสี่ยงสูง,"•<font> </font>ผู้ลงทุนที่สามารถรับความผันผวนของราคาหน่วยลงทุนที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp;<br>
•<font> </font>ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวจากการลงทุนในหมวดอุตสาหกรรมทางการแพทย์<br>
•<font> </font>ผู้ลงทุนที่ต้องการกระจายการลงทุนไปยังหุ้นกลุ่มที่เกี่ยวข้องกับทางการแพทย์<br>
"
9,M0110_2565,MF0176_2565,2022-06-10,-,กองทุนเปิด ดาโอ เฟล็กซิเบิ้ล พร็อพเพอร์ตี้ อินฟรา อินคัม,DAOL FLEXIBLE PROPERTY INFRA INCOME FUND,DAOL-XPROP,RG,C0000028866,,4,R,N,,,,,,,ความเสี่ยงสูงมาก,•<font> </font>ผู้ลงทุนที่สามารถรับความผันผวนของราคาหลักทรัพย์หรือตราสารที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp;<br>•<font> </font>ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยต้องการกระจายการลงทุนไปยังหลักทรัพย์หรือตราสารที่เกี่ยวข้องกับกลุ่มธุรกิจอสังหาริมทรัพย์และ/หรือกลุ่มกิจการโครงสร้างพื้นฐาน<br>•<span> </span>กองทุนเปิด วี เฟล็กซิเบิ้ล พร็อพเพอร์ตี้ อินคัม มีการแบ่งชนิดของหน่วยลงทุนเป็น 2 ชนิด โดยหน่วยลงทุนชนิดไม่จ่ายเงินปันผล เหมาะสำหรับผู้ลงทุนที่ต้องการรับรายได้จากส่วนต่างจากการลงทุน โดยกองทุนจะนำผลประโยชน์จากการลงทุนไปลงทุนต่อ ส่วนหน่วยลงทุนชนิดจ่ายเงินปันผล เหมาะสำหรับผู้ลงทุนที่ต้องการรับผลตอบแทนจากเงินปันผล
