,proj_id,regis_id,regis_date,cancel_date,proj_name_th,proj_name_en,proj_abbr_name,fund_status,unique_id,permit_us_investment,invest_country_flag,proj_retail_type,proj_term_flag,proj_term_dd,proj_term_mm,proj_term_yy,spec_code,spec_desc,risk_spectrum,risk_spectrum_desc,fund_suitable_desc
0,M0002_2545,014_2545,2002-03-29,-,กองทุนเปิดทหารไทยธนรัฐ,TMB Treasury Money Fund,TMBTM,RG,C0000033452,,3,R,N,,,,MM,กองทุนรวมตลาดเงิน,,มีนโยบายลงทุนแบบไม่มีความเสี่ยงต่างประเทศ โดยลงทุนเฉพาะในทรัพย์สินเงินฝากหรือตราสารเทียบเท่าเงินฝากหรือตราสารหนี้หรือหลักทรัพย์หรือทรัพย์สินอื่น หรือการหาดอกผลอื่นตามที่สำนักงานกำหนด ซึ่งมีกำหนดชำระคืนเมื่อทวงถามหรือจะครบกำหนดชำระคืน หรือมีอายุสัญญาไม่เกิน 397 วัน นับแต่วันที่ลงทุนในทรัพย์สินหรือเข้าทำสัญญานั้น และมี portfolio duration ในขณะใด ๆ ไม่เกิน 92 วัน,เงินลงทุนส่วนที่ต้องการความมั่นคงในการดำรงเงินต้น สร้างผลตอบแทนที่สูงขึ้นอย่างสม่ำเสมอและมีสภาพคล่องสูง
1,M0003_2537,001_2538,1995-01-05,-,กองทุนเปิดธนชาตหุ้นทุน,Thanachart Equity Fund,T-EQUITY,RG,C0000033452,,3,R,N,,,,,,,,"<br>
- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br>
- ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน  ตราสารหนี้ทั่วไป<br>
"
2,M0004_2559,MF0082_2559,2016-02-29,-,กองทุนเปิดทหารไทย Japan Active Equity,TMB Japan Active Equity Fund,TMBJPNAE,RG,C0000033452,,1,R,N,,,,FED,กองทุนรวมฟีดเดอร์,,มี net exposure ในตราสารทุนเป็นหลักโดยเฉลี่ยรอบปีบัญชีไม่น้อยกว่าร้อยละ 80 ของ NAV,1.สามารถรับความเสี่ยงจากการลดลงของเงินต้นจากการลงทุนในหุ้น เพื่อแลกกับโอกาสที่ได้รับผลตอบแทนมากกว่าการลงทุนในตราสารหนี้ทั่วไป<br>2.นักลงทุนประเภทตราสารทุน(หุ้น)ที่ต้องการลงทุนในพอร์ตโฟลิโอที่มีการกระจายความเสี่ยงของหุ้นของบริษัทที่มีภูมิลำเนา หรือมีธุรกิจหลักอยู่ในประเทศญี่ปุ่น
3,M0006_2567,MF0041_2567,2024-01-30,-,กองทุนเปิดอีสท์สปริง Japan Bearish Complex Return 1YB,EASTSPRING Japan Bearish Complex Return 1YB,ES-JPNBRCR1YB,RG,C0000033452,,4,R,Y,,,1 ,,,,,
4,M0009_2540,011_2540,1997-05-15,-,กองทุนเปิดทหารไทยธนบดี,TMB MONEY FUND,TMBMF,RG,C0000033452,,3,R,N,,,,MM,กองทุนรวมตลาดเงิน,,มีนโยบายลงทุนแบบไม่มีความเสี่ยงต่างประเทศ โดยลงทุนเฉพาะในทรัพย์สินเงินฝากหรือตราสารเทียบเท่าเงินฝากหรือตราสารหนี้หรือหลักทรัพย์หรือทรัพย์สินอื่น หรือการหาดอกผลอื่นตามที่สำนักงานกำหนด ซึ่งมีกำหนดชำระคืนเมื่อทวงถามหรือจะครบกำหนดชำระคืน หรือมีอายุสัญญาไม่เกิน 397 วัน นับแต่วันที่ลงทุนในทรัพย์สินหรือเข้าทำสัญญานั้นและมี portfolio duration ในขณะใด ๆ ไม่เกิน 92 วัน,เงินลงทุนส่วนที่ต้องการความมั่นคงในการดำรงเงินต้น สร้างผลตอบแทนที่สูงขึ้นอย่างสม่ำเสมอ<br>และมีสภาพคล่องสูง
5,M0013_2536,006_2537,1994-01-24,-,กองทุนเปิดธนชาตเจริญทรัพย์ปันผล,Thanachart Charoen Sab-Dividend Fund,T-CSD,RG,C0000033452,,4,R,N,,,,,,,,"?	- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้
<br>?	- ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป
<br><br>"
6,M0013_2563,MF0051_2563,2020-03-05,-,กองทุนเปิดทีเอ็มบี อีสท์สปริง China A Active,TMB EASTSPRING China A Active Fund,TMB-ES-CHINA-A,RG,C0000033452,,1,R,N,,,,FED,กองทุนรวมฟีดเดอร์,,,นักลงทุนที่ต้องการกระจายการความเสี่ยงในการลงทุนไปยังต่างประเทศ โดยสามารถลงทุนระยะยาวและยอมรับความเสี่ยงของการลงทุนในหลักทรัพย์หรือทรัพย์สินทั่วโลก ความเสี่ยงจากอัตราแลกเปลี่ยน และความผันผวนของการเปลี่ยนแปลงของมูลค่าหน่วยลงทุนของกองทุนต่างประเทศ (กองทุนหลัก) ได้
7,M0014_2535,019_2535,1992-12-18,-,กองทุนเปิดธนชาตเสถียรทรัพย์ปันผล,Thanachart Sa-Thien Sab Dividend Fund,T-STSD,RG,C0000033452,,4,R,N,,,,,,,,"?-	ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้นหรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้
<br>
?	-ผู้ลงทุนที่คาดหวังผลตอบแทนในการลงทุนระยะสั้นจากการจับจังหวะตลาด (market timing)
<br>
<br>"
8,M0014_2556,MF0228_2556,2013-04-02,-,กองทุนเปิดทีเอ็มบี ธนชาต อีสท์สปริง อินคัม พลัส,TMB Thanachart Eastspring Income Plus Fund,TMB-T-ES-IPlus,RG,C0000033452,,4,R,N,,,,,,,,"- ผู้ลงทุนที่คาดหวังผลตอบแทนที่สูงกว่าเงินฝาก และยอมรับผลตอบแทนที่อาจต่ำกว่าหุ้นได้
<br>
- ผู้ลงทุนที่ต้องการสภาพคล่องในการซื้อขายไถ่ถอนหน่วยลงทุนได้ทุกวันทำการ โดยจะได้รับเงินคืนภายในวันที่ T+1
<br>
<br>"
9,M0018_2564,MF0096_2564,2021-03-23,-,กองทุนเปิดทีเอ็มบี อีสท์สปริง Genomic Revolution,TMB EASTSPRING Genomic Revolution Fund,TMB-ES-GENOME,RG,C0000033452,,1,R,N,,,,"FED,SE","กองทุนรวมฟีดเดอร์,กองทุนรวมหมวดอุตสาหกรรม",,,- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้<br>- ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป<br>- ผู้ลงทุนที่ต้องการกระจายการลงทุนไปยังหุ้นกลุ่ม Health Care<br>
