,proj_id,regis_id,regis_date,cancel_date,proj_name_th,proj_name_en,proj_abbr_name,fund_status,unique_id,permit_us_investment,invest_country_flag,proj_retail_type,proj_term_flag,proj_term_dd,proj_term_mm,proj_term_yy,risk_spectrum,risk_spectrum_desc,fund_suitable_desc,spec_code,spec_desc
0,M0008_2537,026_2537,1994-07-27,-,กองทุนเปิดรวงข้าว 4 ,THE RUANG KHAO 4 FUND,RKF4,RG,C0000000021,,3,R,N,,,,,,• ผู้ลงทุนที่ต้องการได้รับเงินปันผลระหว่างการลงทุน• ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้นหรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้• ผู้ลงทุนที่สามารถลงทุนในระยะยาวตั้งแต่ 5 ปี ขึ้นไป,,
1,M0008_2567,MF0016_2567,2024-01-16,-,กองทุนเปิดเค พันธบัตร 1 ปี P,K Government Bond 1 Year P Fund,KGB1YP,RG,C0000000021,,3,R,Y,,,1 ,,,,,
2,M0009_2543,017_2543,2000-04-07,-,กองทุนเปิดเค หุ้นทุนบริพัตร,K Flexible Equity Fund,K-FEQ,RG,C0000000021,,3,R,N,,,,,,• ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้นหรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้• ผู้ลงทุนที่สามารถลงทุนในระยะยาวตั้งแต่ 5 ปี ขึ้นไป,,
3,M0014_2536,018_2536,1993-11-19,-,กองทุนเปิดเค ซีเล็คท์ หุ้นทุน,K Select Equity Fund,K-SELECT,RG,C0000000021,,3,R,N,,,,,,• ผู้ลงทุนที่ต้องการได้รับเงินปันผลระหว่างการลงทุน• ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้นหรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้• ผู้ลงทุนที่สามารถลงทุนในระยะยาวตั้งแต่ 5 ปี ขึ้นไป,,
4,M0017_2538,025_2538,1995-05-02,-,กองทุนเปิดเค ตราสารหนี้,K Fixed Income Fund,K-FIXED,RG,C0000000021,,3,R,N,,,,,,• ผู้ลงทุนที่คาดหวังผลตอบแทนที่สูงกว่าเงินฝาก และยอมรับผลตอบแทนที่อาจต่ำกว่าหุ้นได้• ผู้ลงทุนที่ต้องการสภาพคล่องในการซื้อขายไถ่ถอนหน่วยลงทุนได้ทุกวันทำการ โดยจะได้รับเงินคืนภายในวันที่ T+2• ผู้ลงทุนควรลงทุนในกองทุนนี้เป็นระยะเวลาตั้งแต่ 1 ปีขึ้นไป,,
5,M0021_2538,011_2539,1996-03-12,-,กองทุนเปิดรวงข้าวดุลทรัพย์,The Ruang Khao Balanced Class,RKBC,RG,C0000000021,,3,R,N,,,,,,• ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้นหรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้• ผู้ลงทุนที่สามารถลงทุนในระยะยาวตั้งแต่ 3 ปี ขึ้นไป,,
6,M0023_2538,005_2538,1995-01-27,-, กองทุนเปิดเค หุ้นปันผล,K Valued Stock Fund,K-VALUE,RG,C0000000021,,3,R,N,,,,,,• ผู้ลงทุนที่เชื่อว่าการเลือกลงทุนในหุ้นที่มีปัจจัยพื้นฐานดีจะสามารถสร้างผลตอบแทนที่ดีในระยะยาว• ผู้ลงทุนที่ต้องการได้รับเงินปันผลระหว่างการลงทุน• ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้นหรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้• ผู้ลงทุนที่สามารถลงทุนในระยะยาวตั้งแต่ 5 ปี ขึ้นไป,,
7,M0023_2563,MF0036_2563,2020-02-19,-,กองทุนเปิดเค ตราสารหนี้ AB 2022B,K Fixed Income AB 2022B Fund,K-AB22B,RG,C0000000021,,4,R,N,0 ,6 ,2 ,,,"<ul><li>ผู้ลงทุนที่ต้องการรับผลตอบแทนและสามารถรับความเสี่ยงจากการลงทุนตราสารหนี้ในภูมิภาคเอเชีย
</li><li>ผู้ลงทุนที่คาดหวังผลตอบแทนที่สูงกว่าเงินฝาก และยอมรับผลตอบแทนที่อาจต่ำกว่าหุ้นได้
</li><li>ผู้ลงทุนที่ยอมรับและเข้าใจว่าอาจขาดทุนและสูญเสียเงินต้น หากผู้ออกตราสารหรือเงินฝากที่กองทุนลงทุนไม่สามารถชำระเงินต้นและดอกเบี้ยคืนได้
</li><li>ผู้ลงทุนที่สามารถรับความเสี่ยงจากอัตราแลกเปลี่ยนได้
<br><br></li></ul>",,
8,M0026_2563,MF0176_2563,2020-07-07,-,กองทุนเปิดเค เอเชีย ไฮยีลด์ B ห้ามขายผู้ลงทุนรายย่อย,K Asia High Yield B Fund Not for Retail Investors,K-AHYB-UI,RG,C0000000021,,1,X,N,0 ,6 ,4 ,,,"- ผู้ลงทุนที่ต้องการรับผลตอบแทนและสามารถรับความเสี่ยงจากการลงทุนตราสารหนี้ในประเทศตลาดเกิดใหม่ทั่วโลก
<br>- ผู้ลงทุนที่คาดหวังผลตอบแทนที่สูงกว่าเงินฝาก และยอมรับผลตอบแทนที่อาจต่ำกว่าหุ้นได้
<br>- ผู้ลงทุนที่ยอมรับและเข้าใจว่าอาจขาดทุนและสูญเสียเงินต้น หากผู้ออกตราสารหรือเงินฝากที่กองทุนลงทุนไม่สามารถชำระเงินต้นและดอกเบี้ยคืนได้
<br>- ผู้ลงทุนที่สามารถรับความเสี่ยงจากอัตราแลกเปลี่ยนได้
<br>",FED,กองทุนรวมฟีดเดอร์
9,M0027_2535,002_2535,1992-07-14,-,กองทุนเปิดเค หุ้นทุน, K Equity Fund,K-EQUITY,RG,C0000000021,,3,R,N,,,,,,• ผู้ที่ต้องการได้โอกาสรับผลตอบแทนตามการเติบโตของบริษัทขนาดใหญ่ที่มีความมั่นคงสูง• ผู้ลงทุนที่ต้องการได้รับเงินปันผลระหว่างการลงทุน• ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้นหรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้• ผู้ลงทุนที่สามารถลงทุนในระยะยาวตั้งแต่ 5 ปี ขึ้นไป,,
