,proj_id,regis_id,regis_date,cancel_date,proj_name_th,proj_name_en,proj_abbr_name,fund_status,unique_id,permit_us_investment,invest_country_flag,proj_retail_type,proj_term_flag,proj_term_dd,proj_term_mm,proj_term_yy,spec_code,spec_desc,risk_spectrum,risk_spectrum_desc,fund_suitable_desc
0,M0009_2561,MF0132_2561,2018-05-24,-,กองทุนเปิดเคเคพี โกลบอล นิว เพอร์สเปกทีฟ เฮดจ์,KKP GLOBAL NEW PERSPECTIVE FUND – HEDGED,KKP GNP-H FUND,RG,C0000005025,,1,R,N,,,,"FED,SSF","กองทุนรวมฟีดเดอร์,กองทุนรวมเพื่อการออม ",,,"•	กองทุนนี้มีระดับความเสี่ยงอยู่ในระดับ 6 (เสี่ยงสูง) หากพิจารณาตามคำแนะนำเรื่องการจัดสรรการลงทุน (Basic Asset Allocation) จะเหมาะกับผู้ลงทุนที่รับความเสี่ยงได้ตั้งแต่ระดับสูงมาก และมุ่งเน้นผลตอบแทนในระยะยาวโดยต้องการโอกาส      รับผลตอบแทนที่ดีจากการลงทุนในตราสารทุนต่างประเทศ รวมถึงต้องการกระจายการลงทุนไปยังต่างประเทศ ทั้งนี้ ผู้ลงทุนสามารถลงทุนในกองทุนเปิดภัทร โกลบอล นิว เพอร์สเปกทีฟ เฮดจ์ เพื่อเป็นส่วนประกอบหนึ่งของการจัดสรรการลงทุน (asset allocation) ที่สอดคล้องกับการประเมินความเหมาะสมในการลงทุนของผู้ลงทุน โดยผู้ลงทุนต้องมีความรู้ ความเข้าใจและสามารถยอมรับความเสี่ยงที่เกี่ยวข้องกับกองทุนนี้และกองทุนหลักได้
<br>
•	ผู้ลงทุนสามารถลงทุนในระยะยาว  ทั้งนี้  ผู้ลงทุนสามารถซื้อขายได้ทุกวันทำการ และสามารถขายคืนหน่วยลงทุนได้
<br>
เมื่อพิจารณาแล้วผลตอบแทนเป็นที่พอใจหรือเป็นไปตามแผนการลงทุนของผู้ลงทุน
<br>
<br>
"
1,M0058_2565,MF0127_2565,2022-04-28,-,กองทุนเปิดเคเคพี สมาร์ท พลัส,KKP SMART PLUS FUND,KKP S-PLUS FUND,RG,C0000005025,,4,R,N,,,,SSF,กองทุนรวมเพื่อการออม ,,,"•	กองทุนนี้มีระดับความเสี่ยงอยู่ในระดับ 4 (เสี่ยงปานกลางค่อนข้างต่ำ) หากพิจารณาตามคำแนะนำเรื่องการจัดสรรการลงทุน (Basic Asset Allocation)  จะเหมาะกับประเภทผู้ลงทุนที่รับความเสี่ยงได้ตั้งแต่ระดับปานกลางค่อนข้างต่ำ 
<br>โดยผู้ลงทุนสามารถลงทุนในระยะสั้น และต้องการกระจายเงินลงทุนบางส่วนมาลงทุนในกองทุนตราสารหนี้ และสามารถรับความเสี่ยงของตราสารหนี้ทั้งภาครัฐและเอกชนและการลงทุนทั้งในและต่างประเทศได้ รวมถึงสามารถรับความเสี่ยงจากความผันผวนของราคาที่สูงกว่ากองทุนรวมตลาดเงิน และคาดหวังผลตอบแทนที่สูงกว่าเงินฝาก และยอมรับผลตอบแทนที่อาจต่ำกว่าหุ้นได้ 
<br>•	 ผู้ลงทุนที่ต้องการสภาพคล่องในการซื้อขายไถ่ถอนหน่วยลงทุนได้ทุกวันทำการ โดยจะได้รับเงินคืนภายในวันที่ T+5 (ปัจจุบัน T+1 เฉพาะบัญชีรับเงินค่าขายคืนหน่วยลงทุนของ KKP Bank, SCB, BBL, KBank, BAY, TTB, KTB, CIMB Thai, LH Bank, UOB, Citibank และนำฝากเช็ค T+1 สำหรับบัญชีธนาคารอื่นนอกเหนือจากที่ระบุข้างต้น (รายละเอียดอาจมีการเปลี่ยนแปลง)) 
<br><br>- ผู้ลงทุนที่คาดหวังผลตอบแทนที่สูงกว่าเงินฝาก และยอมรับผลตอบแทนที่อาจต่ำกว่าหุ้นได้ /n - ผู้ลงทุนที่ต้องการสภาพคล่องในการซื้อขายไถ่ถอนหน่วยลงทุนได้ทุกวันทำการ โดยจะได้รับเงินคืนภายในวันที่ T+?[ให้ใส่วันที่จะได้รับเงิน]?"
2,M0078_2559,MF0124_2559,2016-03-23,-,กองทุนเปิดเคเคพี สมาร์ท มินิมั่ม โวลาติลิตี้,KKP SMART MINIMUM VOLATILITY FUND,KKP SMART MV FUND,RG,C0000005025,,3,R,N,,,,SSF,กองทุนรวมเพื่อการออม ,,,"<ul><li style=""color: black;"">
กองทุนนี้มีระดับความเสี่ยงอยู่ในระดับ 6 (เสี่ยงสูง) หากพิจารณาตามคำแนะนำเรื่องการจัดสรรการลงทุน (Basic Asset Allocation) จะเหมาะกับผู้ลงทุนที่รับความเสี่ยงได้ตั้งแต่ระดับสูงมาก และต้องการกระจายเงินลงทุนไปลงทุนในตราสารทุน โดยเงินลงทุนส่วนที่จะแบ่งมาลงทุนในกองทุนนี้ ผู้ลงทุนคาดหวังความผันผวนของผลตอบแทนน้อยกว่าการลงทุนในหลักทรัพย์รายตัวและดัชนีราคาตลาด โดยไม่ได้คาดหวังผลตอบแทนสูงเท่ากับหรือชนะดัชนีตลาดหลักทรัพย์ 
<br>
<br>
<br>•ผู้ลงทุนที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไปและสามารถรับความเสี่ยงจากการลงทุนในหุ้น รวมถึงความผันผวนของมูลค่าหน่วยลงทุนได้บ้าง
<br>
<br>
<br>•ผู้ลงทุนที่ลงทุนในหน่วยลงทุนชนิดเพื่อการออม (KKP SMART MV-SSF) ต้องสามารถรับความเสี่ยงจากการลงทุนในตราสารที่หลากหลาย รวมถึงความผันผวนของมูลค่าหน่วยลงทุนได้ และต้องลงทุนต่อเนื่องระยะยาวตามที่กฎหมายที่เกี่ยวข้องและประมวลรัษฎากรกำหนด ซึ่งผู้ลงทุนจะมีภาระผูกพันที่จะต้องปฏิบัติตามเงื่อนไขและวิธีการที่กำหนดไว้ในกฎหมายภาษีอากร ผู้ลงทุนของหน่วยลงทุนชนิดเพื่อการออมจะไม่ได้รับสิทธิประโยชน์ทางภาษีหากไม่ปฏิบัติตามเงื่อนไขการลงทุนและจะต้องคืนสิทธิประโยชน์ทางภาษีที่เคยได้รับภายในกำหนดเวลาที่กฎหมายที่เกี่ยวข้องกำหนด มิฉะนั้นจะต้องชำระเงินเพิ่มและหรือเบี้ยปรับตามประมวลรัษฎากร (ถ้ามี)
<br>
<br>
<br>- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ 
<br>- ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน ตราสารหนี้ทั่วไป<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>&nbsp;&nbsp; 
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>&nbsp;
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>&nbsp;
<br>&nbsp;
<br>
<br>&nbsp;
<br>
<br>&nbsp;&nbsp; 
<br></li></ul>"
3,M0089_2564,MF0159_2564,2021-05-14,-,กองทุนเปิดเคเคพี โกลบอล ไฮยิลด์บอนด์ เฮดจ์ ห้ามขายผู้ลงทุนรายย่อย,KKP GLOBAL HIGH YIELD BOND FUND – HEDGED NOT FOR RETAIL  INVESTORS,KKP G-HYB-H-UI FUND,RG,C0000005025,,1,X,N,,,,FED,กองทุนรวมฟีดเดอร์,,<br>,"•<font> </font>กองทุนนี้มีระดับความเสี่ยงในระดับ 8+ (เสี่ยงสูงมากอย่างมีนัยสำคัญ) เป็นทางเลือกในการลงทุนระยะยาวของผู้ลงทุนที่ต้องการกระจายการลงทุนบางส่วนไปลงทุนในตราสารหนี้ต่างประเทศที่มีความเสี่ยงสูง (High Yield Bond) ซึ่งโดยทั่วไปจะเป็นตราสารหนี้ที่มีอันดับความน่าเชื่อถือ (Credit Rating) ต่ำกว่าอันดับที่สามารถลงทุนได้ (Investment Grade) ทั้งนี้ กองทุนจะเน้นลงทุนในหน่วยลงทุนของกองทุนหลักเพียงกองทุนเดียว โดยกองทุนหลักต่างประเทศข้างต้นจะลงทุนอย่างน้อยร้อยละ 80 ของทรัพย์สินในตราสารหนี้ high yield ภาคเอกชน (มีอันดับความน่าเชื่อถือต่ำกว่าอันดับที่สามารถลงทุนได้ (non-investment grade) สามารถกระจายการลงทุนได้ทั่วโลก จึงเหมาะกับผู้ลงทุนที่สามารถรับความเสี่ยงที่เกี่ยวข้องกับการลงทุนในตราสารหนี้ต่างประเทศที่มีความเสี่ยงสูงได้&nbsp; &nbsp;หากผู้ลงทุนจะพิจารณาลงทุนในกองทุนนี้ ควรพิจารณากองทุนนี้ในฐานะเป็นส่วนหนึ่งของการจัดสรรเงินลงทุน (Asset Allocation) ในภาพรวม โดยควรกระจายการลงทุนไปยังหลาย ๆ สินทรัพย์ที่แตกต่างกันเพื่อกระจายความเสี่ยง&nbsp; และควรให้ความสำคัญกับสัดส่วนน้ำหนักการลงทุนในตราสารหนี้ความเสี่ยงสูง (High Yield Bond)ให้เหมาะสมกับระดับความเสี่ยงที่ผู้ลงทุนรับได้
<br>
•	ผู้ลงทุนควรลงทุนในกองทุนนี้แบบระยะยาว  และสามารถยอมรับความผันผวนของมูลค่าหน่วยลงทุนและผลตอบแทนของกองทุนได้ โดยผู้ลงทุนสามารถซื้อหน่วยลงทุนได้ทุกวันทำการ  และสามารถขายคืนหน่วยลงทุนได้เมื่อพิจารณาแล้วผลตอบแทนเป็นที่พอใจหรือเป็นไปตามแผนการลงทุนของผู้ลงทุน
<br>
<br>
<br>"
4,M0095_2541,015_2541,1998-10-01,-,สินทรัพย์ไทย 1,Thai Asset Fund 1,TAF 1,RG,C0000005025,,,N,Y,,,,,,,,
5,M0109_2551,075_2551,2008-03-12,-,กองทุนเปิดเคเคพี โกลบอล เฮลธ์แคร์,KKP GLOBAL HEALTH CARE FUND,KKP GHC,RG,C0000005025,,1,R,N,,,,"FED,SE","กองทุนรวมฟีดเดอร์,กองทุนรวมหมวดอุตสาหกรรม",,,"•	กองทุนนี้มีระดับความเสี่ยงอยู่ในระดับ 7 (เสี่ยงสูง) หากพิจารณาตามคำแนะนำเรื่องการจัดสรรการลงทุน (Basic Asset Allocation)  จะเหมาะกับประเภทผู้ลงทุนที่รับความเสี่ยงได้ตั้งแต่ระดับสูงมาก และมุ่งเน้นผลตอบแทนในระยะยาวโดยต้องการโอกาสรับผลตอบแทนที่ดีจากการลงทุนในตราสารทุนต่างประเทศ และต้องการกระจายเงินลงทุนในทรัพย์สินกลุ่มอุตสาหกรรมและการบริการที่เกี่ยวกับการแพทย์ เภสัชกรรม สุขภาพ การรักษาพยาบาล และหรือ เทคโนโลยีชีวภาพ (Health Care Industry)  เพื่อเป็นส่วนประกอบหนึ่งของการจัดสรรการลงทุน (asset allocation) ที่สอดคล้องกับการประเมินความเหมาะสมในการลงทุนของผู้ลงทุน
<br>
•	ผู้ลงทุนที่สามารถลงทุนได้ในระยะกลางถึงระยะยาว และสามารถยอมรับความผันผวนของมูลค่าหน่วยลงทุนและผลตอบแทนของกองทุนได้ โดยผู้ลงทุนสามารถซื้อหน่วยลงทุนได้ทุกวันทำการ  และสามารถขายคืนหน่วยลงทุนได้เมื่อพิจารณาแล้วผลตอบแทนเป็นที่พอใจหรือเป็นไปตามแผนการลงทุนของผู้ลงทุน
<br>
<br>
<br>
<br>"
6,M0135_2551,435_2551,2008-09-10,-,กองทุนเปิดเคเคพี มันนี่ โพสิทีฟ,KKP MONEY POSITIVE FUND,KKP MP FUND,RG,C0000005025,,3,R,N,,,,"MM,SSF","กองทุนรวมตลาดเงิน,กองทุนรวมเพื่อการออม ",,,"•	กองทุนนี้มีระดับความเสี่ยงอยู่ในระดับ 1 (เสี่ยงต่ำ) หากพิจารณาตามคำแนะนำเรื่องการจัดสรรการลงทุน (Basic Asset Allocation) จะเหมาะกับผู้ลงทุนที่รับความเสี่ยงได้ตั้งแต่ระดับต่ำ โดยผู้ลงทุนต้องการกระจายเงินลงทุนไปลงทุนในกองทุนที่เน้นลงทุนในตราสารหนี้ระยะสั้นของภาครัฐ/หน่วยงานภาครัฐ/รัฐวิสาหกิจ
<br>•	ผู้ลงทุนที่ต้องการสภาพคล่องสูง โดยผู้ลงทุนควรลงทุนในระยะเวลาเท่าใดนั้น จึงขึ้นอยู่กับความต้องการของผู้ลงทุน 
<br>โดยคำนึงถึงวัตถุประสงค์การลงทุน เป้าหมายการลงทุน ความต้องการใช้เงินในอนาคต หรืออื่นๆ เป็นต้น 
<br><br>
<br>"
7,M0164_2563,MF0085_2563,2020-04-10,-,กองทุนเปิดเคเคพี SET50 ESG,KKP SET50 ESG FUND,KKP SET50 ESG FUND,RG,C0000005025,,3,R,N,,,,SSF,กองทุนรวมเพื่อการออม ,,,"<p>•	กองทุนนี้มีระดับความเสี่ยงอยู่ในระดับ 6 (เสี่ยงสูง) หากพิจารณาตามคำแนะนำเรื่องการจัดสรรการลงทุน (Basic Asset Allocation) จะเหมาะกับผู้ลงทุนที่รับความเสี่ยงได้ตั้งแต่ระดับสูงมาก และต้องการกระจายเงินลงทุนไปลงทุนใน
<br>ตราสารทุนของบริษัทจดทะเบียนในตลาดหลักทรัพย์แห่งประเทศไทยที่เป็นส่วนประกอบของดัชนี SET 50 โดยมีเป้าหมายให้ผลตอบแทนใกล้เคียงกับดัชนี SET50
<br>•	ผู้ลงทุนที่ลงทุนในหน่วยลงทุนชนิดเพื่อการออม (KKP SET50 ESG-SSF) ต้องสามารถรับความเสี่ยงจากการลงทุนในตราสารทุน รวมถึงความผันผวนของมูลค่าหน่วยลงทุนได้ และต้องลงทุนต่อเนื่องระยะยาวตามที่กฎหมายที่เกี่ยวข้องและ/หรือประมวลรัษฎากรกำหนด ซึ่งผู้ลงทุนจะมีภาระผูกพันที่จะต้องปฏิบัติตามเงื่อนไขและวิธีการที่กำหนดไว้ในกฎหมายภาษีอากร ผู้ลงทุนของหน่วยลงทุนชนิดเพื่อการออมจะไม่ได้รับสิทธิประโยชน์ทางภาษีหากไม่ปฏิบัติตามเงื่อนไขการลงทุนและจะต้องคืนสิทธิประโยชน์ทางภาษีที่เคยได้รับภายในกำหนดเวลาที่กฎหมายที่เกี่ยวข้องกำหนด มิฉะนั้นจะต้องชำระเงินเพิ่มและหรือเบี้ยปรับตามประมวลรัษฎากร (ถ้ามี)
</p><p>•	ผู้ลงทุนที่ลงทุนในหน่วยลงทุนชนิดเพื่อการออมพิเศษ (KKP SET50 ESG-SSFX) ต้องสามารถรับความเสี่ยงจาก
<br>การลงทุนในหุ้น รวมถึงความผันผวนของมูลค่าหน่วยลงทุนได้ และต้องลงทุนต่อเนื่องระยะยาวตามที่กฎหมายที่เกี่ยวข้องและ/หรือประมวลรัษฎากรกำหนด ซึ่งผู้ลงทุนจะมีภาระผูกพันที่จะต้องปฏิบัติตามเงื่อนไขและวิธีการที่กำหนดไว้ในกฎหมายภาษีอากร ผู้ลงทุนของหน่วยลงทุนชนิดเพื่อการออมพิเศษจะไม่ได้รับสิทธิประโยชน์ทางภาษีหากไม่ปฏิบัติตามเงื่อนไขการลงทุนและจะต้องคืนสิทธิประโยชน์ทางภาษีที่เคยได้รับภายในกำหนดเวลาที่กฎหมายที่เกี่ยวข้องกำหนด มิฉะนั้นจะต้องชำระเงินเพิ่มและหรือเบี้ยปรับตามประมวลรัษฎากร (ถ้ามี)
<br></p>"
8,M0184_2561,MF0402_2561,2018-12-12,-,กองทุนเปิดเคเคพี สตราทิจิค แอสเซ็ท อโลเคชั่น เพื่อการเลี้ยงชีพ,KKP STRATEGIC ASSET ALLOCATION RETIREMENT MUTUAL FUND,KKP SG-AA RMF,RG,C0000005025,,4,R,N,,,,RMF,กองทุนรวมเพื่อการเลี้ยงชีพ,,,• กองทุนนี้มีระดับความเสี่ยงอยู่ในระดับ 5 (เสี่ยงปานกลางค่อนข้างสูง) หากพิจารณาตามคำแนะนำเรื่องการจัดสรรการลงทุน (Basic Asset Allocation) จะเหมาะกับผู้ลงทุนที่รับความเสี่ยงได้ตั้งแต่ระดับสูง โดยผู้ลงทุนต้องการลงทุนระยะยาวเพื่อ การเลี้ยงชีพหลังเกษียณอายุ และต้องการกระจายเงินลงทุนไปลงทุนในตราสารที่หลากหลายทั้งในประเทศและต่างประเทศ โดยผู้จัดการกองทุนจะมีการปรับเปลี่ยนสัดส่วนการลงทุนตามความเหมาะสม <br>• ผู้ลงทุนที่สามารถรับความเสี่ยงจากการลงทุนในตราสารที่หลากหลายได้ เช่น ตราสารทุน ตราสารหนี้ ตราสารหนี้ที่มีความเสี่ยงสูง (high yield bond) ตราสารทางเลือก (อสังหาริมทรัพย์ ทองคำ น้ำมัน เป็นต้น) สัญญาซื้อขายล่วงหน้า โดยเป็นความเสี่ยงทั้งการลงทุนในประเทศและต่างประเทศ โดยผู้ลงทุนสามารถรับความผันผวนของมูลค่าหน่วยลงทุนได้ ทั้งในระยะสั้นและระยะยาว สำหรับการลงทุนในต่างประเทศ กองทุนจะป้องกันความเสี่ยงของอัตราแลกเปลี่ยนเป็นไปตามดุลพินิจของผู้จัดการกองทุน ดังนั้นจึงยังมีความเสี่ยงอัตราแลกเปลี่ยนเหลืออยู่ โดยผู้ลงทุนต้องรับความเสี่ยงของอัตราแลกเปลี่ยนได้ <br>• ผู้ลงทุนต้องลงทุนต่อเนื่องระยะยาวตามที่กฎหมายที่เกี่ยวข้องและประมวลรัษฏากรกำหนด ซึ่งผู้ลงทุนจะมีภาระผูกพันที่จะต้องปฏิบัติตามเงื่อนไขและวิธีการที่กำหนดไว้ในกฎหมายภาษีอากร ผู้ลงทุนของกองทุนรวมเพื่อการเลี้ยงชีพจะไม่ได้รับ สิทธิประโยชน์ทางภาษีหากไม่ปฏิบัติตามเงื่อนไขการลงทุนและจะต้องคืนสิทธิประโยชน์ทางภาษีที่เคยได้รับภายในกำหนดเวลาที่กฎหมายที่เกี่ยวข้องกำหนด มิฉะนั้นจะต้องชำระเงินเพิ่มและหรือเบี้ยปรับตามประมวลรัษฏากร <br>
9,M0193_2564,MF0252_2564,2021-08-06,-,กองทุนเปิดเคเคพี โกลบอล อิมแพค เฮดจ์,KKP GLOBAL IMPACT FUND – HEDGED,KKP GIMPACT-H FUND,RG,C0000005025,,1,R,N,,,,"FED,SSF","กองทุนรวมฟีดเดอร์,กองทุนรวมเพื่อการออม ",,,"•	กองทุนนี้มีระดับความเสี่ยงในระดับ 6 (เสี่ยงสูง) เหมาะสมกับเงินลงทุนของผู้ลงทุนที่ต้องการกระจายการลงทุนไปใน
<br>ตราสารทุนต่างประเทศทั่วโลก  โดยเน้นลงทุนในบริษัทที่ผู้จัดการกองทุนมีความเห็นว่ามีธุรกิจหลักที่มีเป้าหมายในการสร้างความเปลี่ยนแปลงด้านสังคมและ/หรือสิ่งแวดล้อม (social and/or environmental change) ควบคู่ไปกับการสร้างผลตอบแทนในรูปตัวเงิน (financial return) 
<br>•	ผู้ลงทุนควรลงทุนในกองทุนนี้เพื่อเป็นส่วนประกอบส่วนหนึ่งของการจัดสรรการลงทุน (asset allocation) ที่สอดคล้องกับการประเมินความเหมาะสมในการลงทุนของผู้ลงทุน โดยผู้ลงทุนต้องมีความรู้ ความเข้าใจและสามารถยอมรับความเสี่ยงที่เกี่ยวข้องกับกองทุนนี้และกองทุนหลักได้
<br>•	ผู้ลงทุนควรลงทุนในกองทุนนี้แบบระยะยาว (จากข้อมูลของกองทุนหลักเปิดเผยว่ากองทุนนี้อาจไม่เหมาะสำหรับผู้ลงทุนที่จะขายคืนหน่วยลงทุนของกองทุนภายใน 5 ปี) โดยสามารถยอมรับความผันผวนของมูลค่าหน่วยลงทุนและผลตอบแทนของกองทุนได้ทั้งในระยะสั้นและระยะยาว และสามารถขายคืนหน่วยลงทุนได้เมื่อพิจารณาแล้วเห็นว่าผลตอบแทนเป็นที่พอใจหรือเป็นไปตามแผนการลงทุนของผู้ลงทุนแล้ว 
<br>"
