,proj_id,regis_id,regis_date,cancel_date,proj_name_th,proj_name_en,proj_abbr_name,fund_status,unique_id,permit_us_investment,invest_country_flag,proj_retail_type,proj_term_flag,proj_term_dd,proj_term_mm,proj_term_yy,risk_spectrum,risk_spectrum_desc,fund_suitable_desc,spec_code,spec_desc
0,M0001_2566,MF0095_2566,2023-03-16,-,กองทุนเปิดกรุงไทย เอ็นแฮนซท์ ตราสารหนี้ 1Y1 ห้ามขายผู้ลงทุนรายย่อย,Krungthai Enhanced Fixed Income 1Y1 Not for Retail Investors,KTTHFIX1Y1-UI,RG,C0000000460,,4,X,Y,,,1 ,,,,,
1,M0004_2545,011_2545,2002-02-21,-,กองทุนเปิดไทยสร้างโอกาส,The Thai Opportunity Fund,TOF,RG,C0000000460,,4,N,N,,,,,กองทุนมี net exposure ในตราสารทุนเป็นหลักโดยเฉลี่ยรอบปีบัญชีไม่น้อยกว่าร้อยละ 80 ของ NAV,<ul><li>กองทุนนี้เหมาะสำหรับนักลงทุนที่ต้องการโอกาสในการรับผลตอบแทนที่ดี และสามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้</li><li>ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป</li></ul>,,
2,M0007_2565,MF0069_2565,2022-03-14,-,กองทุนเปิดเคแทม E.P.I.C. Global Equity Opportunities,KTAM E.P.I.C. Global Equity Opportunities Fund,KT-EPIC,RG,C0000000460,,1,R,N,,,,,,"<ul><li>เหมาะสมกับผู้ลงทุนที่ยอมรับความเสี่ยงและความผันผวนของหน่วยลงทุนตราสารทุน และ/หรือราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้นหรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้    </li><li>ผู้ลงทุนที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป
    </li><li>ผู้ลงทุนที่สามารถรับความเสี่ยงด้านอัตราแลกเปลี่ยนเงินตราต่างประเทศได้
</li><li>สำหรับคลาสชนิดเพื่อการออม ผู้ลงทุนควรลงทุนในกองทุนอย่างน้อย 10 ปี เพื่อให้เป็นไปตามเงื่อนไขที่กฎหมายกำหนด
</li><li>สำหรับคลาสชนิดเพื่อการออม ผู้ลงทุนที่ต้องการลดหย่อนภาษีเงินได้บุคคลธรรมดา ตามมติคณะรัฐมนตรี เมื่อวันที่ 3 ธันวาคม พ.ศ. 2562
<br></li></ul><br>","FED,SSF","กองทุนรวมฟีดเดอร์,กองทุนรวมเพื่อการออม "
3,M0009_2564,MF0058_2564,2021-02-25,-,กองทุนเปิดเคแทม เอเชีย โกรท อิควิตี้ ฟันด์,KTAM Asia Growth Equity Fund,KT-ASIAG,RG,C0000000460,,1,R,N,,,,,,<ul><li>เหมาะสมกับผู้ลงทุนที่ยอมรับความเสี่ยงและความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้นหรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้</li><li>ผู้ลงทุนที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป</li><li>ผู้ลงทุนที่สามารถรับความเสี่ยงด้านอัตราแลกเปลี่ยนเงินตราต่างประเทศได้</li><li>กรณีเป็้นหน่วยลงทุนชนิดเพื่อการออม ผู้ลงทุนควรลงทุนในกองทุนอย่างน้อย 10 ปี เพื่อให้เป็นไปตามเงื่อนไขที่กฎหมายกำหนด</li><li>กรณีเป็นหน่วยลงทุนชนิดเพื่อการออม ผู้ลงทุนที่ต้องการลดหย่อนภาษีเงินได้บุคคลธรรมดา ตามมติคณะรัฐมนตรี เมื่อวันที่ 3 ธันวาคม พ.ศ. 2562&nbsp;</li></ul>,"FED,SSF","กองทุนรวมฟีดเดอร์,กองทุนรวมเพื่อการออม "
4,M0016_2564,MF0132_2564,2021-04-21,-,กองทุนเปิดกรุงไทย ฟิกซ์ อินคัม 19,Krung Thai Fixed income 19,KTF19,RG,C0000000460,,4,R,N,,,1 ,,,? ผู้ลงทุนที่เข้าใจว่ามูลค่าหน่วยลงทุนเป้าหมายไม่ใช่การรับประกันผลตอบแทนจากการลงทุน<br>? ผู้ลงทุนที่ยอมรับความเสี่ยงจากการลงทุนในตราสารหนี้ทั้งในและต่างประเทศ รวมถึงความเสี่ยงด้านอัตราแลกเปลี่ยนเงินตราต่างประเทศ<br>? ผู้ลงทุนเข้าใจต่อความผันผวนของมูลค่าหน่วยลงทุนจากการลงทุนได้ทั้งหมด และต้องการโอกาสในการได้รับผลตอบแทนที่ดีจากการนำเงินที่ได้จากการระดมทุนไปลงทุนในหน่วยลงทุนของกองทุนรวมทั้งในและต่างประเทศ&nbsp;<br>? ผู้ลงทุนที่คาดหวังผลตอบแทนในการลงทุนระยะสั้นจากการจับจังหวะตลาด (market timing),FF,กองทุนรวมหน่วยลงทุน (Fund of Funds)
5,M0017_2564,MF0133_2564,2021-04-27,-,กองทุนเปิดกรุงไทย ฟิกซ์ อินคัม 20,Krung Thai Fixed income 20,KTF20,RG,C0000000460,,4,R,N,,,1 ,,,?<font> </font>ผู้ลงทุนที่เข้าใจว่ามูลค่าหน่วยลงทุนเป้าหมายไม่ใช่การรับประกันผลตอบแทนจากการลงทุน<br>?<font> </font>ผู้ลงทุนที่ยอมรับความเสี่ยงจากการลงทุนในตราสารหนี้ทั้งในและต่างประเทศ รวมถึงความเสี่ยงด้านอัตราแลกเปลี่ยนเงินตราต่างประเทศ<br>?<font> </font>ผู้ลงทุนเข้าใจต่อความผันผวนของมูลค่าหน่วยลงทุนจากการลงทุนได้ทั้งหมด และต้องการโอกาสในการได้รับผลตอบแทนที่ดีจากการนำเงินที่ได้จากการระดมทุนไปลงทุนในหน่วยลงทุนของกองทุนรวมทั้งในและต่างประเทศ&nbsp;<br>?<font> </font>ผู้ลงทุนที่คาดหวังผลตอบแทนในการลงทุนระยะสั้นจากการจับจังหวะตลาด (market timing),FF,กองทุนรวมหน่วยลงทุน (Fund of Funds)
6,M0020_2543,028_2543,2000-07-10,-,กองทุนเปิดกรุงไทยหุ้นทุนปันผล,The Krung Thai Dividend Selected  Fund  ,KTSF,RG,C0000000460,,3,R,N,,,,,มี net exposure ในตราสารทุนเป็นหลักโดยเฉลี่ยรอบปีบัญชีไม่น้อยกว่าร้อยละ 80 ของ NAV,"<ul><li>ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้
</li><li>ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป
<br></li></ul>",,
7,M0020_2564,MF0168_2564,2021-05-25,-,กองทุนเปิดกรุงไทย ฟิกซ์ อินคัม 21,Krung Thai Fixed income 21,KTF21,RG,C0000000460,,4,R,N,,,1 ,,,เหมาะสมกับผู้ลงทุนที่ยอมรับความเสี่ยงจากการลงทุนในตราสารหนี้ต่างประเทศ รวมถึงความเสี่ยงด้านอัตราแลกเปลี่ยนเงินตราต่างประเทศ และเหมาะสำหรับผู้ถือหน่วยลงทุนสามารถถือครองหน่วยลงทุนจนครบอายุกองทุนได้ (ประมาณ 1 ปี) ซึ่งผู้ลงทุนเข้าใจต่อความผันผวนของมูลค่าหน่วยลงทุนจากการลงทุนได้ทั้งหมด และต้องการโอกาสในการได้รับผลตอบแทนที่ดีจากการนำเงินที่ได้จากการระดมทุนไปลงทุนในหน่วยลงทุนของกองทุนรวมต่างประเทศ&nbsp;,FF,กองทุนรวมหน่วยลงทุน (Fund of Funds)
8,M0021_2559,MF0222_2559,2016-05-31,-,กองทุนเปิดเคแทม Japan Small Cap Equity,KTAM Japan Small Cap Equity Fund,KT-JAPANSM,RG,C0000000460,,1,R,N,,,,,,"•	ผู้ลงทุนที่สามารถรับความผันผวนจากการลงทุนในหลักทรัพย์ประเภทหน่วยลงทุนของกองทุนรวมต่างประเทศ ที่กองทุนไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้
<br>•	ผู้ลงทุนที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป
<br>•	ผู้ลงทุนที่สามารถรับความเสี่ยงด้านอัตราแลกเปลี่ยนเงินตราต่างประเทศได้ 
<br><br>","FED,SSF","กองทุนรวมฟีดเดอร์,กองทุนรวมเพื่อการออม "
9,M0021_2564,MF0176_2564,2021-05-27,-,กองทุนเปิดกรุงไทย ฟิกซ์ อินคัม 22,Krung Thai Fixed income 22,KTF22,RG,C0000000460,,4,R,N,,,1 ,,,เหมาะสมกับผู้ลงทุนที่ยอมรับความเสี่ยงจากการลงทุนในตราสารหนี้ต่างประเทศ รวมถึงความเสี่ยงด้านอัตราแลกเปลี่ยนเงินตราต่างประเทศ และเหมาะสำหรับผู้ถือหน่วยลงทุนสามารถถือครองหน่วยลงทุนจนครบอายุกองทุนได้ (ประมาณ 1 ปี) ซึ่งผู้ลงทุนเข้าใจต่อความผันผวนของมูลค่าหน่วยลงทุนจากการลงทุนได้ทั้งหมด และต้องการโอกาสในการได้รับผลตอบแทนที่ดีจากการนำเงินที่ได้จากการระดมทุนไปลงทุนในหน่วยลงทุนของกองทุนรวมต่างประเทศ&nbsp;,FF,กองทุนรวมหน่วยลงทุน (Fund of Funds)
