,proj_id,regis_id,regis_date,cancel_date,proj_name_th,proj_name_en,proj_abbr_name,fund_status,unique_id,permit_us_investment,invest_country_flag,proj_retail_type,proj_term_flag,proj_term_dd,proj_term_mm,proj_term_yy,spec_code,spec_desc,risk_spectrum,risk_spectrum_desc,fund_suitable_desc
0,M0009_2553,037_2553,2010-01-29,-,กองทุนเปิดกรุงศรีไชน่าอิควิตี้,Krungsri China Equity Fund,KF-CHINA,RG,C0000000709,,1,R,N,,,,FED,กองทุนรวมฟีดเดอร์,,,"<ul>
    <li>ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้นหรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ </li>
    <li>ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาวโดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป</li>
</ul>"
1,M0012_2566,MF0334_2566,2023-08-30,-,กองทุนเปิดกรุงศรีเอ็นดีคิวอินเด็กซ์,Krungsri NDQ Index Fund,KFNDQ,RG,C0000000709,,1,R,N,,,,FED,กองทุนรวมฟีดเดอร์,,,
2,M0014_2567,MF0012_2567,2024-01-15,-,กองทุนเปิดกรุงศรีพันธบัตรไทย 6M23,Krungsri Thai Government Bond 6M23 Fund,KFTGB6M23,RG,C0000000709,,3,R,Y,,6 ,,,,,,
3,M0023_2540,016_2540,1997-07-22,-,กองทุนเปิดกรุงศรีอิควิตี้ปันผล,Krungsri Star Equity Dividend Fund   ,KFSEQ-D,RG,C0000000709,,3,R,N,,,,,,,,"<ul><li>ผู้ลงทุนที่สามารถรับความผันผวนของราคาตราสารหนี้และหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้นหรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ </li><li>ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป
<br></li></ul>"
4,M0024_2540,020_2540,1997-12-19,-,กองทุนเปิดกรุงศรีตราสารเพิ่มทรัพย์,Krungsri Star Plus Fund   ,KFSPLUS,RG,C0000000709,,4,R,N,,,,,,,,"<ul><li>ผู้ลงทุนที่คาดหวังผลตอบแทนที่สูงกว่าเงินฝาก และยอมรับผลตอบแทนที่อาจต่ำกว่าหุ้นได้ </li><li>ผู้ลงทุนที่ต้องการสภาพคล่องในการซื้อขายไถ่ถอนหน่วยลงทุนได้ทุกวันทำการ โดยจะได้รับเงินคืนภายใน
<br>วันที่ T+1
<br></li></ul>"
5,M0028_2553,063_2553,2010-02-09,-,กองทุนเปิดกรุงศรีลาตินอเมริกาอิควิตี้ ,Krungsri Latin America Equity Fund,KF-LATAM,RG,C0000000709,,1,R,N,,,,FED,กองทุนรวมฟีดเดอร์,,,"<ul><li>ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ </li><li>ผู้ลงทุนที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป
<br></li></ul>"
6,M0034_2567,MF0022_2567,2024-01-19,-,กองทุนเปิดกรุงศรีพันธบัตรรัฐบาลญี่ปุ่น 6M8,Krungsri Japan Government Bond 6M8 Fund,KFJGB6M8,RG,C0000000709,,1,R,Y,,6 ,,,,,,
7,M0035_2560,MF0117_2560,2017-03-20,-,กองทุนเปิดกรุงศรีไทยออลสตาร์,Krungsri Thai All Stars Equity Fund,KFTSTAR,RG,C0000000709,,3,R,N,,,,,,,,"<ul><li>ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้นหรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ </li><li>ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป
<br></li></ul>"
8,M0037_2552,055_2552,2009-03-17,-,กองทุนเปิดกรุงศรีโกลด์,Krungsri Gold Fund,KF-GOLD,RG,C0000000709,,1,R,N,,,,FED,กองทุนรวมฟีดเดอร์,,,"<ul><li>ผู้ลงทุนที่คาดหวังผลตอบแทนจากการลงทุนในทองคำ
</li><li>ผู้ลงทุนที่สามารถรับความผันผวนของราคาทองคำ ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้นหรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้
</li><li>ผู้ลงทุนที่ต้องการลงทุนในทรัพย์สินทางเลือกเพื่อกระจายการลงทุนทรัพย์สินประเภทต่างๆ
<br></li></ul>"
9,M0045_2567,MF0027_2567,2024-01-23,-,กองทุนเปิดกรุงศรีพันธบัตรไทย 3M2,Krungsri Thai Government Bond 3M2 Fund,KFTGB3M2,RG,C0000000709,,3,R,Y,,3 ,,,,,,
