,proj_id,regis_id,regis_date,cancel_date,proj_name_th,proj_name_en,proj_abbr_name,fund_status,unique_id,permit_us_investment,invest_country_flag,proj_retail_type,proj_term_flag,proj_term_dd,proj_term_mm,proj_term_yy,spec_code,spec_desc,risk_spectrum,risk_spectrum_desc,fund_suitable_desc
0,M0016_2565,MF0072_2565,2022-03-15,-,กองทุนเปิด แอล เอช พันธบัตรรัฐบาล ระยะสั้น,LH TREASURY FUND,LHTREASURY,RG,C0000006646,,3,R,N,,,,MM,กองทุนรวมตลาดเงิน,,,"<ul><li style=""text-align: left; margin-top: 0in; margin-right: 0in; margin-bottom: 0pt;"">ผู้ลงทุนที่คาดหวังผลตอบแทนที่ใกล้เคียงเงินฝาก และยอมรับผลตอบแทนที่อาจต่ำกว่ากองทุนรวมตราสารหนี้ทั่วไปได้<br></li><li style=""text-align: left; margin-top: 0in; margin-right: 0in; margin-bottom: 0pt;"">ผู้ลงทุนที่ต้องการสภาพคล่องสูง</li><li style=""text-align: left; margin-top: 0in; margin-right: 0in; margin-bottom: 0pt;"">ผู้ลงทุนที่ต้องการการลงทุนที่มีความเสี่ยงต่ำ</li></ul><br>- ผู้ลงทุนที่คาดหวังผลตอบแทนที่สูงกว่าเงินฝาก และยอมรับผลตอบแทนที่อาจต่ำกว่าหุ้นได้ /n - ผู้ลงทุนที่ต้องการสภาพคล่องในการซื้อขายไถ่ถอนหน่วยลงทุนได้ทุกวันทำการ โดยจะได้รับเงินคืนภายในวันที่ T+?[ให้ใส่วันที่จะได้รับเงิน]?<br>- ผู้ลงทุนที่คาดหวังผลตอบแทนที่ใกล้เคียงเงินฝาก และยอมรับผลตอบแทนที่อาจต่ำกว่ากองทุนรวมตราสารหนี้ทั่วไปได้ <br> - ผู้ลงทุนที่ต้องการสภาพคล่องสูง <br> - ผู้ลงทุนที่ต้องการการลงทุนที่มีความเสี่ยงต่ำ"
1,M0031_2561,MF0049_2561,2018-02-28,-,กองทุนเปิด แอล เอช อีเมอร์จิ้ง มาร์เก็ต-E,LH EMERGING MARKETS - E FUND,LHEME,RG,C0000006646,,1,R,N,,,,FED,กองทุนรวมฟีดเดอร์,,,<p>- ผู้ลงทุนที่มุ่งหวังผลตอบแทนจากการลงทุนในหน่วยลงทุนของกองทุนต่างประเทศ ที่ลงทุนในตราสารทุนของบริษัทต่าง ๆ ในกลุ่มประเทศตลาดเกิดใหม่ โดยผู้ลงทุนสามารถยอมรับความเสี่ยงจากการลงทุนในต่างประเทศดังกล่าวได้  </p><p>- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหรือมูลค่าหน่วยลงทุนของกองทุนหลักหรือกองทุนต่างประเทศที่กองทุนลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ </p><p>- ผู้ที่สามารถลงทุนในระยะปานกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวจากการลงทุนในตราสารทุนต่างประเทศ</p><br>- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br> - ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน  ตราสารหนี้ทั่วไป<br>- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br> - ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน  ตราสารหนี้ทั่วไป
2,M0048_2567,MF0042_2567,2024-01-30,-,กองทุนเปิด แอล เอช พันธบัตร 3M3,LH GOVERNMENT BOND FUND 3M3,LHGOV3M3,RG,C0000006646,,3,R,Y,,3 ,,,,,,
3,M0050_2565,MF0089_2565,2022-03-29,-,กองทุนเปิด แอล เอช ยูเอส ไฟแนนเชียล,LH US Financial Fund,LHUSFIN,RG,C0000006646,,1,R,N,,,,"FED,SE,SSF","กองทุนรวมฟีดเดอร์,กองทุนรวมหมวดอุตสาหกรรม,กองทุนรวมเพื่อการออม ",,,"<ul>
    <li>ผู้ที่สามารถลงทุนในระยะปานกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป
    </li>
</ul>
<ul>
    <li>ผู้ลงทุนที่สามารถรับความผันผวนจากอัตราแลกเปลี่ยนได้ เนื่องจากกองทุนนี้จะลงทุนในหน่วยลงทุนของกองทุนต่างประเทศด้วยสกุลเงินดอลล่าร์สหรัฐฯ (USD) จึงอาจมีความเสี่ยงจากอัตราแลกเปลี่ยน</li>
</ul>
<ul>
    <li>ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวม และ/หรือ กองทุนหลักไปลงทุน ซึ่งอาจปรับตัวเพิ่มสูงขึ้นหรือลดลงจนต่ำกว่ามูลค่าที่ลงทุน และทำให้ขาดทุนได้
    </li>
</ul>
<ul>
    <li>ผู้ลงทุนที่ต้องการกระจายการลงทุน ไปยังหุ้นกลุ่มธุรกิจการเงิน (Financial)
&nbsp;&nbsp;</li></ul>"
4,M0052_2564,MF0103_2564,2021-03-24,-,กองทุนเปิด แอล เอช กรีน เทคโนโลยี,LH GREEN TECHNOLOGY FUND,LHGREEN,RG,C0000006646,,1,R,N,,,,"FED,SSF","กองทุนรวมฟีดเดอร์,กองทุนรวมเพื่อการออม ",,,"<ul><li>ผู้ที่สามารถลงทุนในระยะปานกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป
</li><li>ผู้ลงทุนที่สามารถรับความผันผวนจากอัตราแลกเปลี่ยนได้ เนื่องจากกองทุนนี้จะลงทุนในหน่วยลงทุนของกองทุนต่างประเทศด้วยสกุลเงินดอลล่าร์สหรัฐฯ (USD) จึงอาจมีความเสี่ยงจากอัตราแลกเปลี่ยน</li><li>ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวม และ/หรือ กองทุนหลักไปลงทุน ซึ่งอาจปรับตัวเพิ่มสูงขึ้นหรือลดลงจนต่ำกว่ามูลค่าที่ลงทุน และทำให้ขาดทุนได้
<br>
</li></ul><br>- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br> - ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน  ตราสารหนี้ทั่วไป<br>- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br> - ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน  ตราสารหนี้ทั่วไป"
5,M0053_2564,MF0254_2564,2021-08-06,-,กองทุนเปิด แอล เอช โกลบอล ไซเบอร์ ซีเคียวริตี้,LH GLOBAL CYBERSECURITY FUND,LHCYBER,RG,C0000006646,,1,R,N,,,,"FED,SSF","กองทุนรวมฟีดเดอร์,กองทุนรวมเพื่อการออม ",,,"<ul><li>ผู้ที่สามารถลงทุนในระยะปานกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป
    </li><li>ผู้ลงทุนที่สามารถรับความผันผวนจากอัตราแลกเปลี่ยนได้ เนื่องจากกองทุนนี้จะลงทุนในหน่วยลงทุนของกองทุนต่างประเทศด้วยสกุลเงินดอลล่าร์สหรัฐฯ (USD) จึงอาจมีความเสี่ยงจากอัตราแลกเปลี่ยน
</li><li>ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวม และ/หรือ กองทุนหลักไปลงทุน ซึ่งอาจปรับตัวเพิ่มสูงขึ้นหรือลดลงจนต่ำกว่ามูลค่าที่ลงทุน และทำให้ขาดทุนได้&nbsp;&nbsp;&nbsp; <br>
    </li></ul>

"
6,M0058_2563,MF0067_2563,2020-03-25,-,กองทุนเปิด แอล เอช เวลท์ พลัส,LH WEALTH PLUS FUND,LHWPLUS,RG,C0000006646,,4,R,N,,,,,,,,
7,M0059_2561,MF0079_2561,2018-03-29,-,กองทุนเปิด แอล เอช ดิจิตอล อีโคโนมี,LH DIGITAL ECONOMY FUND,LHDIGITAL,RG,C0000006646,,1,R,N,,,,FED,กองทุนรวมฟีดเดอร์,,,<br>- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br> - ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน  ตราสารหนี้ทั่วไป<br>- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br> - ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน  ตราสารหนี้ทั่วไป
8,M0062_2560,MF0098_2560,2017-03-08,-,กองทุนเปิด แอล เอช สแทรทิจี อิควิตี้,LH Strategy Equity Fund,LHSTRATEGY,RG,C0000006646,,3,R,N,,,,SSF,กองทุนรวมเพื่อการออม ,,,<p><span>?</span><span> </span><span>ผู้ลงทุนที่สามารถรับความผันผวน</span><span> </span><span>ของราคาหุ้นที่กองทุนรวมไปลงทุน</span><span> </span><span>ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น</span><span> </span><span>หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้</span></p> <p><span>? ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; ตราสารหนี้ทั่วไป</span></p><br>- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br> - ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน  ตราสารหนี้ทั่วไป
9,M0098_2564,MF0163_2564,2021-05-18,-,กองทุนเปิด แอล เอช สมาร์ท โมบิลิตี้,LH SMART MOBILITY FUND,LHMOBILITY,RG,C0000006646,,1,R,N,,,,FF,กองทุนรวมหน่วยลงทุน (Fund of Funds),,,"<ul><li>ผู้ที่สามารถลงทุนในระยะปานกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป
    </li><li>ผู้ลงทุนที่สามารถรับความผันผวนจากอัตราแลกเปลี่ยนได้ เนื่องจากกองทุนนี้จะลงทุนในหน่วยลงทุนของกองทุนต่างประเทศด้วยสกุลเงินดอลล่าร์สหรัฐฯ (USD) จึงอาจมีความเสี่ยงจากอัตราแลกเปลี่ยน
    &nbsp; </li><li>ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวม และ/หรือ กองทุนหลักไปลงทุน ซึ่งอาจปรับตัวเพิ่มสูงขึ้นหรือลดลงจนต่ำกว่ามูลค่าที่ลงทุน และทำให้ขาดทุนได้</li></ul><br>- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br> - ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน  ตราสารหนี้ทั่วไป<br>- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br> - ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน  ตราสารหนี้ทั่วไป<br>- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br> - ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน  ตราสารหนี้ทั่วไป"
