,proj_id,regis_id,regis_date,cancel_date,proj_name_th,proj_name_en,proj_abbr_name,fund_status,unique_id,permit_us_investment,invest_country_flag,proj_retail_type,proj_term_flag,proj_term_dd,proj_term_mm,proj_term_yy,spec_code,spec_desc,risk_spectrum,risk_spectrum_desc,fund_suitable_desc
0,M0000_2552,008_2552,2009-01-22,-,กองทุนเปิดเอ็มเอฟซี ไฮ-ดิวิเดนด์ ฟันด์,MFC Hi-Dividend Fund,HI-DIV,RG,C0000000023,,3,R,N,,,,SSF,กองทุนรวมเพื่อการออม ,,,"<br>
- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br>
- ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน  ตราสารหนี้ทั่วไป<br>
<br>- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br> - ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน  ตราสารหนี้ทั่วไป<br>- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br> - ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน  ตราสารหนี้ทั่วไป<br>- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br> - ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน  ตราสารหนี้ทั่วไป"
1,M0001_2524,909_2535,1992-01-01,-,กองทุนทรัพย์สมบูรณ์,SUBSOMBOON FUND,SSB,RG,C0000000023,,3,R,N,,,,OTH,อื่น ๆ,,,
2,M0001_2530,018_2540,1997-08-07,-,กองทุนเปิดสินภิญโญห้า ,Sinpinyo Five Open-end Fund  ,SF5,RG,C0000000023,,3,R,N,,,,,,,,
3,M0001_2531,023_2542,1999-06-30,-,กองทุนเปิดธนภูมิ,Thana Phum Open-end Fund,TNP,RG,C0000000023,,3,R,N,,,,,,,,- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br> - ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน  ตราสารหนี้ทั่วไป
4,M0002_2530,006_2540,1997-03-14,-,กองทุนเปิดสินภิญโญสี่,Sinpinyo Four Open-end Fund,SF4,RG,C0000000023,,3,R,N,,,,,,,,- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br> - ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน  ตราสารหนี้ทั่วไป
5,M0002_2533,008_2538,1995-02-03,-,กองทุนเปิดทรัพย์อนันต์,Sub Anan Open-End Fund,SAN,RG,C0000000023,,3,R,N,,,,,,,,- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br> - ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน  ตราสารหนี้ทั่วไป
6,M0003_2533,026_2543,2000-07-03,-,กองทุนเปิดร่วมพัฒนาสอง ,Ruam Pattana Two Open-end Fund   ,RPF2,RG,C0000000023,,3,R,N,,,,,,,,- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br> - ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน  ตราสารหนี้ทั่วไป
7,M0003_2561,MF0019_2561,2018-01-31,-,กองทุนเปิดเอ็มเอฟซี สมาร์ท อินเวสเมนท์ ซีรี่ส์ 5 เอ 4,MFC Smart Investment Series 5 A4 Fund,SI5A4,RG,C0000000023,,4,R,N,,,,,,,,- ผู้ลงทุนที่คาดหวังโอกาสรับผลตอบแทนที่ดีและกระจายความเสี่ยงในการลงทุน และรับความเสี่ยงของการลงทุนในต่างประเทศได้<br>- ผู้ลงทุนที่เข้าใจว่ามูลค่าหน่วยลงทุนเป้าหมายไม่ใช่การรับประกันผลตอบแทนจากกการลงทุน<br>- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้นหรือลดลงจนต่ำกว่ามูลค่าที่ลงทุน และทำให้ขาดทุนได้<br>- ผู้ลงทุนที่คาดหวังผลตอบแทนในการลงทุนระยะสั้นจากการจับจังหวะตลาด (market timing)
8,M0005_2564,MF0059_2564,2021-02-25,-,กองทุนเปิดเอ็มเอฟซี ฟินเทค อินโนเวชั่น,MFC Fintech Innovation Fund,MFTECH,RG,C0000000023,,1,R,N,,,,,,,,- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br> - ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน  ตราสารหนี้ทั่วไป
9,M0009_2565,MF0049_2565,2022-02-25,-,กองทุนเปิดเอ็มเอฟซี ยูโรเปียน แบงค์,MFC European Banks Fund,M-EUBANK,RG,C0000000023,,1,R,N,,,,"FED,SE","กองทุนรวมฟีดเดอร์,กองทุนรวมหมวดอุตสาหกรรม",,,- <span> </span>ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้<br>- <span> </span>ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป
10,M0017_2540,006_2541,1998-05-14,-,กองทุนเปิดเอ็มเอฟซีตราสารหนี้,MFC Fixed Income Fund,MFF,RG,C0000000023,,3,R,N,,,,,,,,- ผู้ลงทุนที่คาดหวังผลตอบแทนที่สูงกว่าเงินฝาก และยอมรับผลตอบแทนที่อาจต่ำกว่าหุ้นได้ <br>- ผู้ลงทุนที่ต้องการสภาพคล่องในการซื้อขายไถ่ถอนหน่วยลงทุนได้ทุกวันทำการ โดยจะได้รับเงินคืนภายในวันที่ T+2<br><br>
11,M0019_2535,001_2536,1993-02-02,-,กองทุนเปิดรุ่งโรจน์หนึ่ง,Roongroj One Open-end Fund,RRF1,RG,C0000000023,,3,R,N,,,,,,,,- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br> - ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน  ตราสารหนี้ทั่วไป
12,M0019_2537,020_2537,1994-04-04,-,กองทุนเปิดธีรทรัพย์,Theerasub Open-end Fund,TS,RG,C0000000023,,3,R,N,,,,,,,,- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br> - ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน  ตราสารหนี้ทั่วไป
13,M0020_2537,029_2537,1994-08-25,-,กองทุนเปิดตะวันออกหนึ่ง,Dynamic Eastern One Open-end Fund,DE-1,RG,C0000000023,,3,R,N,,,,,,,,
