,proj_id,regis_id,regis_date,cancel_date,proj_name_th,proj_name_en,proj_abbr_name,fund_status,unique_id,permit_us_investment,invest_country_flag,proj_retail_type,proj_term_flag,proj_term_dd,proj_term_mm,proj_term_yy,spec_code,spec_desc,risk_spectrum,risk_spectrum_desc,fund_suitable_desc
0,M0001_2552,009_2553,2010-01-14,-,กองทุนเปิดพรินซิเพิล เดลี่ เซ็ท 50 อินเด็กซ์,Principal Daily SET 50 Index Fund,PRINCIPAL SET50,RG,C0000005531,,3,R,N,,,,IND,กองทุนรวมดัชนี,,,-<font> </font>เหมาะสำหรับผู้ที่ต้องการแสวงหาโอกาสในการสร้างผลตอบแทนจากการลงทุนในตราสารทุนที่มุ่งลงทุนในหุ้นสามัญที่จดทะเบียนในตลาดหลักทรัพย์ซึ่งเป็นส่วนประกอบของดัชนี SET50 หรือหลักทรัพย์ประเภทอื่นๆที่มีผลในการคำนวณดัชนี SET50 และมุ่งหวังผลตอบแทนในทิศทางเดียวกับดัชนี SET50 โดยเข้าใจความผันผวนและยอมรับความเสี่ยงของการลงทุนในตราสารทุนได้ โดยผู้ลงทุนสามารถไถ่ถอนการลงทุนหรือลงทุนได้ทุกวัน<br>-<font> </font>ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจปรับตัวสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้<br>-<font> </font>ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้<br>-<font> </font>ผู้ลงทุนที่ต้องการสภาพคล่องในการซื้อขายไถ่ถอนหน่วยลงทุนได้ทุกวันทำการ<br>- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้<br> - ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน  ตราสารหนี้ทั่วไป
1,M0006_2561,MF0054_2561,2018-03-02,-,กองทุนเปิดพรินซิเพิล โกลบอล แมเนจ โวลาติลิตี้ อิควิตี้,Principal Global  Managed Volatility Equity Fund,PRINCIPAL GMV,RG,C0000005531,,1,R,N,,,,FED,กองทุนรวมฟีดเดอร์,,,<p>-	ผู้ที่ต้องการการลงทุนในระยะกลางถึงระยะยาว<br>-<font> </font>ผู้ที่ต้องการกระจายการลงทุนไปยังต่างประเทศและสามารถรับความเสี่ยงจาการลงทุนในตราสารทุนในต่างประเทศโดยยอมรับความผันผวนทั้งในระยะสั้นและระยะยาวได้<br>-<font> </font>ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนหลักไปลงทุนซึ่งอาจจะปรับตัวเพิ่มสูงขึ้นหรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้<br>-<font> </font>เหมาะกับผู้ลงทุนประเภทบุคคลธรรมดา ที่ต้องการรับรายได้จากส่วนต่างจากการลงทุน (Capital Gain) และสะสมผลประโยชน์จากการลงทุน (Total return)<br></p>
2,M0009_2554,MF0076_2554,2011-02-23,-,กองทุนรวมอสังหาริมทรัพย์ตรีนิตี้,Trinity Property Fund,TNPF,RG,C0000005531,,,R,N,,,,,,,,
3,M0046_2565,MF0097_2565,2022-03-31,-,กองทุนเปิดพรินซิเพิล โกลบอล มัลติ แอสเซท,Principal Global Multi Asset Fund,PRINCIPAL GMA,RG,C0000005531,,1,R,N,,,,"FF,SSF","กองทุนรวมหน่วยลงทุน (Fund of Funds),กองทุนรวมเพื่อการออม ",,,"-	เหมาะสำหรับเงินลงทุนของผู้ลงทุนที่มุ่งหวังผลตอบแทนที่ดีจากการลงทุนในหน่วยลงทุนของกองทุนรวมต่างประเทศ    โดยควรเป็นเงินลงทุนส่วนที่สามารถยอมรับความเสี่ยงจากการลงทุนได้ในระดับปานกลางค่อนข้างสูง
<br>-     ผู้ลงทุนที่สามารถรับความผันผวนของราคาหลักทรัพย์ที่กองทุนไปลงทุนซึ่งอาจปรับตัวสูงขึ้นหรือลดลงจนต่ำกว่ามูลค่า    ที่ลงทุนและทำให้ขาดทุนได้
<br>-	ผู้ที่สามารถลงทุนในระยะยาวโดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป
<br>-	ผู้ที่ต้องการกระจายการลงทุนไปยังต่างประเทศและสามารถรับความเสี่ยงจากการลงทุนในหลักทรัพย์ในต่างประเทศ    โดยยอมรับความผันผวนทั้งในระยะสั้นและระยะยาวได้
<br>-	เหมาะกับผู้ลงทุนประเภทบุคคลธรรมดา ที่ต้องการรับรายได้จากส่วนต่างจากการลงทุน (Capital Gain) และสะสมผลประโยชน์จากการลงทุน (Total return)
<br>
<strong></strong><br>"
4,M0060_2561,MF0088_2561,2018-04-10,-,กองทุนเปิดพรินซิเพิล โกลบอล พรีเฟอร์ ซิเคียวริตี้,Principal Global Preferred Securities Fund,PRINCIPAL GPS,RG,C0000005531,,1,R,N,,,,FED,กองทุนรวมฟีดเดอร์,,,-<font> </font>ผู้ที่ต้องการการลงทุนในระยะกลางถึงระยะยาว<br>-<font> </font>ผู้ที่ต้องการกระจายการลงทุนไปยังต่างประเทศและสามารถรับความเสี่ยงจากการลงทุนในหลักทรัพย์ที่ลงทุนในต่างประเทศโดยยอมรับความผันผวนทั้งในระยะสั้นและระยะยาวได้<br>-<font> </font>ผู้ลงทุนที่สามารถรับความผันผวนของราคาหลักทรัพย์ที่กองทุนหลักไปลงทุนซึ่งอาจจะปรับตัวเพิ่มสูงขึ้นหรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้<br>-<font> </font>เหมาะกับผู้ลงทุนประเภทบุคคลธรรมดา ที่ต้องการรับรายได้จากส่วนต่างจากการลงทุน (Capital Gain) และสะสมผลประโยชน์จากการลงทุน (Total return)
5,M0063_2565,MF0111_2565,2022-04-08,-,กองทุนเปิดพรินซิเพิล เวียดนาม ทริกเกอร์ 7M1,Principal Vietnam Trigger 7M1 Fund,PRINCIPAL VNTG7M1,RG,C0000005531,,1,R,N,,,,,,,,"-	ผู้ลงทุนที่เข้าใจว่ามูลค่าหน่วยลงทุนเป้าหมายไม่ใช่การรับประกันผลตอบแทนจากการลงทุน และไม่สามารถขายหน่วยลงทุนคืนได้ในช่วงเวลา 7 เดือนแรก
<br>-	ผู้ลงทุนที่ต้องการกระจายการลงทุนไปยังหลักทรัพย์ที่เกี่ยวข้องกับประเทศเวียดนามโดยเข้าใจความผันผวนและยอมรับความเสี่ยงของการลงทุนในหลักทรัพย์ที่เกี่ยวข้องกับประเทศเวียดนาม และรับความเสี่ยงจากอัตราแลกเปลี่ยนได้
<br>-	ผู้ลงทุนที่สามารถรับความผันผวนของราคาหลักทรัพย์ที่กองทุนไปลงทุนซึ่งอาจปรับตัวสูงขึ้นหรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้
<br>-	ผู้ที่ต้องการกระจายการลงทุนไปยังต่างประเทศและสามารถรับความเสี่ยงจากการลงทุนในตราสารทุนในต่างประเทศโดยยอมรับความผันผวนทั้งในระยะสั้นและระยะยาวได้
<br>
<br>"
6,M0074_2560,MF0090_2560,2017-03-07,-,กองทุนเปิดพรินซิเพิล โกลบอล รีทส์,Principal Global REITs Fund,PRINCIPAL GREITs,RG,C0000005531,,1,R,N,,,,FF,กองทุนรวมหน่วยลงทุน (Fund of Funds),,,-&nbsp; เหมาะสำหรับผู้ลงทุนทั่วไป และนิติบุคคลที่ต้องการแสวงหาโอกาสในการสร้างผลตอบแทนจากการลงทุนในหน่วยลงทุนของกองทุนรวมอสังหาริมทรัพย์ และ/หรือกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์ (REITs) รวมถึงหลักทรัพย์อื่นที่เกี่ยวข้องในหมวดอุตสาหกรรมอสังหาริมทรัพย์ ทั้งใน และ/หรือต่างประเทศ โดยเข้าใจความผันผวนและรับความเสี่ยงจากการลงทุนในตราสารของหมวดอุตสาหกรรมดังกล่าวได้<br>- สำหรับเงินลงทุนของผู้มีเงินออมโดยเป็นเงินลงทุนส่วนที่สามารถรับความผันผวนและความเสี่ยงในระดับสูงได้ เพื่อโอกาสได้รับผลตอบแทนที่ดีในระยะปานกลางถึงระยะยาวโดยเทียบเคียงกับการลงทุนเพื่อสร้างผลตอบแทน Total Return ผ่านการลงทุนในหลักทรัพย์ REITs หรือ หน่วยลงทุนของกองทุนรวมอสังหาริมทรัพย์<br>- บุคคลธรรมดาที่ต้องการการลงทุนที่ผลตอบแทนไม่เสียภาษี<br>- ผู้ลงทุนที่คาดหวังโอกาสรับรายได้จากเงินปันผล รวมถึงมีสิทธิได้รับสิทธิพิเศษทางภาษี หากปฏิบัติเป็นไปตาม&nbsp;<br>เกณฑ์/เงื่อนไขที่กรมสรรพากรกำหนด ทั้งนี้ โปรดศึกษารายละเอียดเงื่อนไขการจ่ายเงินปันผลเพิ่มเติมในหนังสือชี้<br>ชวนส่วนข้อมูลโครงการ
7,M0077_2557,MF0277_2557,2014-05-07,-,กองทุนเปิดพรินซิเพิล โกลบอล อิควิตี้,Principal Global Equity Fund,PRINCIPAL GEF,RG,C0000005531,,1,R,N,,,,FF,กองทุนรวมหน่วยลงทุน (Fund of Funds),,,<p>- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่า<br>&nbsp; มูลค่าที่ลงทุนและทำให้ขาดทุนได้&nbsp;<br>- ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน ตราสารหนี้ทั่วไป<br>- ผู้ที่ต้องการแสวงหาโอกาสในการสร้างผลตอบแทนจากการลงทุนในตราสารทุน โดยเข้าใจความผันผวน และรับความ<br>&nbsp; เสี่ยงของการลงทุนในต่างประเทศได้<br>-  เหมาะสำหรับผู้ลงทุนประเภทบุคคลธรรมดา เปิดโอกาสให้ผู้ลงทุนรับรายได้จากส่วนต่างจากการลงทุน (Capital Gain) และสะสมผลประโยชน์จากการลงทุน (Total return)</p>
8,M0084_2566,MF0064_2566,2023-02-23,-,กองทุนเปิดพรินซิเพิล ตราสารหนี้ 2Y1 ห้ามขายผู้ลงทุนรายย่อย,Principal Fixed Income 2Y1 Fund Not for Retail Investors,PRINCIPAL FI2Y1AI,RG,C0000005531,,3,H,Y,,,2 ,,,,,
9,M0086_2564,MF0119_2564,2021-04-01,-,กองทุนเปิดพรินซิเพิล โกลบอล คลีน เอ็นเนอร์จี,Principal Global Clean Energy Fund,PRINCIPAL GCLEAN,RG,C0000005531,,1,R,N,,,,FED,กองทุนรวมฟีดเดอร์,,,"-	ผู้ลงทุนที่สามารถรับความผันผวนของราคาหลักทรัพย์ที่กองทุนไปลงทุนซึ่งอาจปรับตัวสูงขึ้นหรือลดลงจนต่ำกว่ามูลค่า    ที่ลงทุนและทำให้ขาดทุนได้
<br>-	ผู้ที่ต้องการกระจายการลงทุนไปยังต่างประเทศและสามารถรับความเสี่ยงจากการลงทุนในตราสารทุนในต่างประเทศ   โดยยอมรับความผันผวนทั้งในระยะสั้นและระยะยาวได้
<br>
-	เหมาะกับผู้ลงทุนประเภทบุคคลธรรมดา ที่ต้องการรับรายได้จากส่วนต่างจากการลงทุน (Capital Gain) และสะสมผลประโยชน์จากการลงทุน (Total return)<br> - ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน  ตราสารหนี้ทั่วไป<br> "
