,proj_id,regis_id,regis_date,cancel_date,proj_name_th,proj_name_en,proj_abbr_name,fund_status,unique_id,permit_us_investment,invest_country_flag,risk_spectrum,proj_retail_type,proj_term_flag,proj_term_dd,proj_term_mm,proj_term_yy,spec_code,risk_spectrum_desc,spec_desc,fund_suitable_desc
0,M0002_2563,MF0023_2563,2020-02-04,-,กองทุนเปิดไทยพาณิชย์ Diversified Income Plus,SCB Diversified Income Plus Fund,SCBDPLUS,RG,C0000000239,,4,,R,N,,,,,,,- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br>- ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป<br>
1,M0003_2539,004_2540,1997-02-27,-,กองทุนเปิดไทยพาณิชย์ตราสารหนี้ระยะสั้น,SCB Short Term Fixed Income Fund,SCBSFF,RG,C0000000239,,4,,R,N,,,,,,,"<p>- ผู้ลงทุนที่คาดหวังผลตอบแทนที่สูงกว่าเงินฝาก และยอมรับผลตอบแทนที่อาจต่ำกว่าหุ้นได้<br>
- ผู้ลงทุนที่ต้องการสภาพคล่องในการซื้อขายไถ่ถอนหน่วยลงทุนได้ทุกวันทำการ โดยจะได้รับเงินคืนภายในวันที่ T+1</p>
"
2,M0004_2564,MF0024_2564,2021-01-26,-,กองทุนเปิดไทยพาณิชย์ Active Allocation,SCB Active Allocation Fund,SCBAA,RG,C0000000239,,1,,R,N,,,,FED,,กองทุนรวมฟีดเดอร์,"- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุนซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้<br>
- ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน ตราสารหนี้ทั่วไป <br>
<br>"
3,M0005_2537,033_2537,1994-09-26,-,กองทุนเปิดไทยพาณิชย์ธนอนันต์ ,SCB DHANA ANANTA OPEN END FUND   ,SCBDAFUND,RG,C0000000239,,3,,R,N,,,,,,,"- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br>
- ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน  ตราสารหนี้ทั่วไป<br>
"
4,M0005_2558,MF0081_2558,2015-02-13,-,กองทุนเปิดไทยพาณิชย์ หุ้นจีนเอแชร์,SCB CHINA A-SHARES FUND,SCBCHAFUND,RG,C0000000239,,1,,R,N,,,,"FED,SSF",,"กองทุนรวมฟีดเดอร์,กองทุนรวมเพื่อการออม ","- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br>
- ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน  ตราสารหนี้ทั่วไป<br>
<br>- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br> - ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน  ตราสารหนี้ทั่วไป"
5,M0005_2565,MF0092_2565,2022-03-29,-,กองทุนเปิดไทยพาณิชย์ Cross Asset Investment Opportunity,SCB Cross Asset Investment Opportunity,SCBCIO,RG,C0000000239,,4,,R,N,,,,"FF,SSF",,"กองทุนรวมหน่วยลงทุน (Fund of Funds),กองทุนรวมเพื่อการออม ","- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้
<br>- ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป
<br>- กองทุนรวมมีการแบ่งชนิดหน่วยลงทุนเป็น 6 ชนิด ได้แก่ ชนิดสะสมมูลค่า ชนิดรับซื้อคืนอัตโนมัติ ชนิดจ่ายเงินปันผล ชนิด         ผู้ลงทุนกลุ่ม/บุคคล ชนิดช่องทางอิเล็กทรอนิกส์ ชนิดเพื่อการออม ปัจจุบันเปิดให้บริการชนิดสะสมมูลค่า
<br>"
6,M0006_2539,008_2540,1997-03-28,-,กองทุนเปิดไทยพาณิชย์เกษียณสุข (ตราสารหนี้),SCB RETIREMENT FIXED INCOME OPEN END FUND,SCBRF,RG,C0000000239,,4,,R,N,,,,,,,ผู้ลงทุนที่คาดหวังผลตอบแทนที่สูงกว่าเงินฝาก และยอมรับผลตอบแทนที่อาจต่ำกว่าหุ้นได้<br>
7,M0006_2563,MF0022_2563,2020-02-04,-,กองทุนเปิดไทยพาณิชย์ Smart Income Plus,SCB Smart Income Plus Fund,SCBSPLUS,RG,C0000000239,,4,,R,N,,,,,,,- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br>- ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป<br>
8,M0007_2538,026_2538,1995-05-04,-,กองทุนเปิดไทยพาณิชย์เพิ่มผลมั่นคง ,SCB PERMPOL MUNKHONG OPEN END FUND,SCBPMOFUND,RG,C0000000239,,3,,R,N,,,,,,,"<ul>
    <li>ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้</li>
    <li>ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป</li>
</ul>
"
9,M0015_2564,MF0049_2564,2021-02-17,-,กองทุนเปิดไทยพาณิชย์ Asia Opportunity,SCB Asia Opportunity Fund,SCBAO,RG,C0000000239,,1,,R,N,,,,FED,,กองทุนรวมฟีดเดอร์,"- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุนซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้
<br>
- ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน ตราสารหนี้ทั่วไป
<br>
"
