,proj_id,regis_id,regis_date,cancel_date,proj_name_th,proj_name_en,proj_abbr_name,fund_status,unique_id,permit_us_investment,invest_country_flag,proj_retail_type,proj_term_flag,proj_term_dd,proj_term_mm,proj_term_yy,risk_spectrum,risk_spectrum_desc,fund_suitable_desc,spec_code,spec_desc
0,M0004_2535,004_2535,1992-07-30,-,กองทุนเปิด ทิสโก้ หุ้นทุนไทย,TISCO Thai Equity Fund,TISCOEQF,RG,C0000000324,,3,R,N,,,,,ความเสี่ยงสูง,"•	ผู้ลงทุนทั่วไปที่มีความต้องการที่จะได้รับผลตอบแทนจากเงินปันผลหรือกำไรส่วนเกินทุนจากการลงทุนในตราสารทุน
<br>•	ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้
<br>•	ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป
<br>",,
1,M0004_2556,MF0071_2556,2013-02-04,-,กองทุนเปิด ทิสโก้ ไชน่า H-Shares อิควิตี้ เพื่อการเลี้ยงชีพ,TISCO China H-Shares Equity RMF,TCHRMF,RG,C0000000324,,1,R,N,,,,,ความเสี่ยงสูง,"ลงทุนที่ต้องการออมเงินเพื่อไว้ใช้หลังเกษียณอายุ และต้องการกระจายการลงทุนไปยังหลักทรัพย์ต่างประเทศ และต้องการได้รับผลตอบแทนที่เหมาะสมจากการลงทุนในหน่วยลงทุนของกองทุนรวมตราสารทุนต่างประเทศ 
<br>•	ผู้ลงทุนที่สามารถรับความผันผวนทางด้านราคาของกองทุนรวมอีทีเอฟต่างประเทศที่กองทุนไปลงทุน 
ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้นหรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้
<br>•	ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป
<br>•	ผู้ลงทุนควรมีความเข้าใจและสามารถยอมรับความเสี่ยงของการลงทุนในต่างประเทศได้
<br>•	ผู้ลงทุนควรลงทุนในกองทุนรวมนี้เป็นระยะเวลาอย่างน้อย 5 ปีนับตั้งแต่วันที่ซื้อหน่วยลงทุนครั้งแรก และลงทุนจนถึงอายุไม่น้อยกว่า 55 ปี จึงจะได้รับสิทธิประโยชน์ทางภาษีจากการลงทุนในกองทุนรวมเพื่อการเลี้ยงชีพตามที่กฎหมายกำหนด
","FED,RMF","กองทุนรวมฟีดเดอร์,กองทุนรวมเพื่อการเลี้ยงชีพ"
2,M0005_2535,018_2535,1992-12-15,-,กองทุนเปิด ทิสโก้ ทวีทุน,TISCO EQUITY GROWTH FUND,TISCOEGF,RG,C0000000324,,3,R,N,,,,,ความเสี่ยงสูง,"•	ผู้ลงทุนทั่วไปที่มีความต้องการที่จะได้รับผลตอบแทนจากเงินปันผลหรือกำไรส่วนเกินทุนจากการลงทุนในตราสารทุน
<br>•	ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ 
<br>•	ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป
<br>",,
3,M0005_2539,030_2539,1996-05-30,-,กองทุนเปิด ทิสโก้ เฟล็กซิเบิ้ล พลัส,TISCO Flexible Plus Fund,TISCOFLEXP,RG,C0000000324,,3,R,N,,,,,ความเสี่ยงสูง,"•	ผู้ลงทุนทั่วไปที่มีความต้องการลงทุนในตราสารแห่งทุน ตราสารแห่งหนี้ หรือตราสารกึ่งหนี้กึ่งทุน โดยมีวัตถุประสงค์เพื่อเน้นการสร้างผลตอบแทนสูงสุดในรูปของมูลค่าเพิ่มจากการลงทุน
<br>•	ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ 
<br>•	ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป
<br>",,
4,M0006_2543,004_2544,2001-02-22,-,กองทุนเปิด ทิสโก้ แอ็กเกรสซีฟ โกรท ฟันด์ ,TISCO Aggressive Growth Fund ,TISCOAGF,RG,C0000000324,,3,R,N,,,,,ความเสี่ยงปานกลางค่อนข้างสูง,"•	ผู้ลงทุนทั่วไปที่มีความต้องการลงทุนในตราสารแห่งทุน ตราสารแห่งหนี้ หรือตราสารกึ่งหนี้กึ่งทุน โดยมีวัตถุประสงค์เพื่อเน้นการสร้างผลตอบแทนสูงสุดในรูปของมูลค่าเพิ่มจากการลงทุน
<br>•	ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ากว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ 
<br>•	ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป
<br>",,
5,M0010_2561,MF0059_2561,2018-03-08,-,กองทุนเปิด ทิสโก้ อินเดีย แอคทีฟ อิควิตี้,TISCO India Active Equity Fund,TISCOINA,RG,C0000000324,,1,R,N,,,,,ความเสี่ยงสูง,"<p>•	ผู้ลงทุนที่สามารถรับความผันผวนทางด้านราคาของกองทุนรวมต่างประเทศ และ/หรือกองทุนรวมอีทีเอฟต่างประเทศที่กองทุนไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้นหรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้
<br>
•	ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป 
<br>
•	ผู้ลงทุนควรมีความเข้าใจและสามารถยอมรับความเสี่ยงของการลงทุนในต่างประเทศได้
<br>
•<font class=""Apple-tab-span"">&nbsp;ช</font>นิดหน่วยลงทุน A (TISCOINA-A) เหมาะสำหรับผู้ลงทุนที่ต้องการรับผลตอบแทนผ่านการเพิ่มมูลค่าของหน่วยลงทุนเป็นหลัก (Total Return)<br>
•<font class=""Apple-tab-span"">&nbsp;</font>ชนิดหน่วยลงทุน D (TISCOINA-D) เหมาะสำหรับผู้ลงทุนที่ต้องการรับผลตอบแทนจากเงินปันผล<br>
• ชนิดหน่วยลงทุน R (TISCOINA-R) เหมาะสำหรับผู้ลงทุนที่ต้องการรับผลตอบแทนจากการรับซื้อคืนหน่วยลงทุน โดยอัตโนมัติ</p>
",FF,กองทุนรวมหน่วยลงทุน (Fund of Funds)
6,M0010_2562,MF0091_2562,2019-03-01,-,กองทุนเปิด ทิสโก้ โกลบอล ดิจิตอล เฮลธ์ อิควิตี้,TISCO Global Digital Health Equity Fund,TGHDIGI,RG,C0000000324,,1,R,N,,,,,ความเสี่ยงสูงมาก,"•<font class=""Apple-tab-span""> </font>ผู้ลงทุนที่มีความเข้าใจและสามารถยอมรับความเสี่ยงของการลงทุนในต่างประเทศได้<br>
•<font class=""Apple-tab-span""> </font>ผู้ลงทุนที่สามารถรับความผันผวนทางด้านราคาของกองทุนรวมต่างประเทศที่กองทุนไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้นหรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้<br>
•<font class=""Apple-tab-span""> </font>ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป<br>
•<font class=""Apple-tab-span""> </font>ผู้ลงทุนที่ต้องการกระจายการลงทุนไปยังหุ้นกลุ่ม Digital Health<br>- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ ","FED,SE","กองทุนรวมฟีดเดอร์,กองทุนรวมหมวดอุตสาหกรรม"
7,M0011_2547,017_2547,2004-03-16,-,กองทุนเปิด ทิสโก้ สแตรทิจิก ฟันด์,TISCO Strategic Fund,TSF,RG,C0000000324,,3,R,N,,,,,ความเสี่ยงสูง,"•	ผู้ลงทุนทั่วไปที่มีความต้องการที่จะได้รับผลตอบแทนจากเงินปันผลหรือกำไรส่วนเกินทุนจากการลงทุนในตราสารทุน
<br>•	ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ 
<br>•	ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป
<br>",SSF,กองทุนรวมเพื่อการออม 
8,M0012_2563,MF0044_2563,2020-02-27,-,กองทุนเปิด ทิสโก้ พร็อพเพอร์ตี้ แอนด์ อินฟราสตรัคเจอร์ เฟล็กซิเบิ้ล,TISCO Property and Infrastructure Flexible Fund,TTHREIT,RG,C0000000324,,4,R,N,,,,,ความเสี่ยงสูงมาก,"•<font class=""Apple-tab-span""> </font>ผู้ลงทุนที่ต้องการลงทุนในหลักทรัพย์ที่อยู่ในหมวดอุตสาหกรรมอสังหาริมทรัพย์ และ/หรือโครงสร้างพื้นฐาน ทั้งในประเทศและ/หรือต่างประเทศ โดยมุ่งหวังผลตอบแทนที่กองทุนจะได้รับจากเงินปันผล เงินที่ได้จากการจ่ายคืนผลตอบแทนของหลักทรัพย์ที่กองทุนลงทุน หรือกำไรส่วนเกินทุนจากการลงทุนในหลักทรัพย์ดังกล่าว<br>•<font class=""Apple-tab-span""> </font>ผู้ลงทุนที่สามารถรับความผันผวนของกองทุนรวมอสังหาริมทรัพย์ ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์ และกองทุนรวมโครงสร้างพื้นฐานที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้&nbsp;<br>•<font class=""Apple-tab-span""> </font>ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป<br>•<font class=""Apple-tab-span""> </font>ผู้ลงทุนควรมีความเข้าใจและสามารถยอมรับความเสี่ยงของการลงทุนในต่างประเทศได้<br>",SE,กองทุนรวมหมวดอุตสาหกรรม
9,M0019_2566,MF0149_2566,2023-04-26,-,กองทุนเปิด ทิสโก้ ยูเอส ลิ้งค์ คอมเพล็กซ์ รีเทิร์น 1,TISCO US Linked Complex Return Fund 1,TUSLINK1,RG,C0000000324,,4,R,Y,0 ,6 ,1 ,,,,,
