,proj_id,regis_id,regis_date,cancel_date,proj_name_th,proj_name_en,proj_abbr_name,fund_status,unique_id,permit_us_investment,invest_country_flag,proj_retail_type,proj_term_flag,proj_term_dd,proj_term_mm,proj_term_yy,risk_spectrum,risk_spectrum_desc,fund_suitable_desc,spec_code,spec_desc
0,M0001_2536,026_2536,1993-12-29,-,กองทุนเปิด กำไรเพิ่มพูน ,Kamrai Permpoon Open-ended Fund ,KPLUS,RG,C0000000623,N,3,R,N,,,,RS6,,"<p>1. ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ </p>
<p>2. ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน ตราสารหนี้ทั่วไป<br></p>",,
1,M0002_2560,MF0054_2560,2017-02-09,-,กองทุนเปิด ยูไนเต็ด โกลบอล อินคัม สตราทีจิค บอนด์ ฟันด์,United Global Income Strategic Bond Fund,UGIS,RG,C0000000623,,1,R,N,,,,,หมายเหตุ : กองทุนรวมตราสารหนี้ ที่มีนโยบายการลงทุนในตราสาร non-investment grade/unrate เกินกว่าร้อยละ 20 ของ NAV แต่น้อยกว่าร้อยละ 60 ของ NAV,"<p><strong>หน่วยลงทุนชนิดรับซื้อคืนหน่วยลงทุนแบบปกติและหน่วยลงทุนชนิดรับซื้อคืนหน่วยลงทุนอัตโนมัติ </strong></p><p>1. ผู้ลงทุนที่คาดหวังผลตอบแทนที่สูงกว่าเงินฝาก และยอมรับผลตอบแทนที่อาจต่ำกว่าหุ้นได้ </p>
<p>2. เหมาะสำหรับเงินลงทุนที่ต้องการผลตอบแทนที่ดีจากการลงทุนในกองทุนรวมต่างประเทศ และสามารถยอมรับความเสี่ยงจากการลงทุนได้ในระดับสูงโดยผลตอบแทนที่กองทุนจะได้รับส่วนใหญ่มาจากกำไรส่วนต่างของราคาหน่วยลงทุน</p><p><strong>หน่วยลงทุนชนิดเพื่อการออม </strong></p><p>1.	ผู้ลงทุนที่คาดหวังผลตอบแทนที่สูงกว่าเงินฝาก และยอมรับผลตอบแทนที่อาจต่ำกว่าหุ้นได้
<br>2.	เหมาะสำหรับเงินลงทุนที่ต้องการผลตอบแทนที่ดีจากการลงทุนในกองทุนรวมต่างประเทศ และสามารถยอมรับความเสี่ยงจากการลงทุนได้ในระดับสูงโดยผลตอบแทนที่กองทุนจะได้รับส่วนใหญ่มาจากกำไรส่วนต่างของราคาหน่วยลงทุน
<br>3.	ผู้ลงทุนที่สามารถถือหน่วยลงทุนได้ไม่น้อยกว่า 10 ปี นับจากวันที่ซื้อหน่วยลงทุน
<br></p>","FED,SSF","กองทุนรวมฟีดเดอร์,กองทุนรวมเพื่อการออม "
2,M0005_2563,MF0043_2563,2020-02-27,-,กองทุนเปิด ยูไนเต็ด อินคัม ฟันด์,United Income Fund,UINC,RG,C0000000623,,1,R,N,,,,,"<strong><span style=""text-decoration: underline;"">หมายเหตุ</span></strong> : กองทุนรวมตราสารหนี้ ที่มีนโยบายการลงทุนในตราสาร non-investment grade/unrated เกินกว่าร้อยละ 20 ของ NAV แต่น้อยกว่าร้อยละ 60 ของ NAV","<p>1. ผู้ลงทุนที่คาดหวังผลตอบแทนที่สูงกว่าเงินฝาก และยอมรับผลตอบแทนที่อาจต่ำกว่าหุ้นได้
<br></p><p>2. เหมาะสำหรับเงินลงทุนที่ต้องการผลตอบแทนที่ดีจากการลงทุนในกองทุนรวมต่างประเทศ และสามารถยอมรับความเสี่ยงจากการลงทุนได้ในระดับสูงโดยผลตอบแทนที่กองทุนจะได้รับส่วนใหญ่มาจากกำไรส่วนต่างของราคาหน่วยลงทุน<br></p>",FED,กองทุนรวมฟีดเดอร์
3,M0014_2564,MF0080_2564,2021-03-16,-,กองทุนเปิด ยูไนเต็ด แบตเตอรี่ แอนด์ อีวี เทคโนโลยี ฟันด์,United Battery and EV Technology Fund,UEV-M,RG,C0000000623,,1,R,N,,,,,,"UEV<br>
1.	ผู้ลงทุนที่สามารถรับความผันผวนของราคาตราสารที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้นหรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้
<br>
2.	ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป
<br>
3.	ผู้ลงทุนที่ต้องการกระจายการลงทุนในต่างประเทศและสามารถยอมรับความเสี่ยงจากการลงทุนได้ ในระดับปานกลางถึงสูง
<br>
<br>
UEV-SSF<br>
<br>
1.	ผู้ลงทุนที่สามารถรับความผันผวนของราคาตราสารที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้นหรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้
<br>
2.	ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป
<br>
3.	ผู้ลงทุนที่ต้องการกระจายการลงทุนในต่างประเทศและสามารถยอมรับความเสี่ยงจากการลงทุนได้ ในระดับปานกลางถึงสูง
<br>
4.	ผู้ลงทุนที่สามารถถือหน่วยลงทุนได้ไม่น้อยกว่า 10 ปีนับจากวันที่ซื้อหน่วยลงทุน
<br>
<br>
<br>
","FF,SSF","กองทุนรวมหน่วยลงทุน (Fund of Funds),กองทุนรวมเพื่อการออม "
4,M0021_2554,MF0030_2554,2011-02-02,-,กองทุนเปิด ยูโอบี อินคัม เดลี,UOB Income Daily Open-ended Fund,UOBID,RG,C0000000623,N,3,R,N,,,,RS4,"<p style=""text-align: left;""><br></p>","<p>
1. ผู้ลงทุนที่คาดหวังผลตอบแทนที่สูงกว่าเงินฝาก และยอมรับผลตอบแทนที่อาจต่ำกว่าหุ้นได้ </p>
<p>2. ผู้ลงทุนที่ต้องการสภาพคล่องในการซื้อขายไถ่ถอนหน่วยลงทุนได้ทุกวันทำการ โดยจะได้รับเงินคืนภายในวันที่ T+4 นับตั้งแต่วันถัดจากวันรับซื้อคืนหน่วยลงทุน<br></p>",,
5,M0021_2558,MF0090_2558,2015-02-18,-,กองทุนเปิด ยูโอบี โกลบอล แอลโลเคชั่น เพื่อการเลี้ยงชีพ,UOB Global Allocation RMF,UOBGARMF,RG,C0000000623,N,1,R,N,,,,RS5,,"1. ผู้ลงทุนสามารถถือหน่วยลงทุนจนครบอายุ 55 ปีบริบูรณ์และถือหน่วยลงทุนไม่น้อยกว่า 5 ปี 
<br>2. ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้
<br>3.	ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป
<br>4. ผู้ลงทุนที่มุ่งหวังผลตอบแทนที่ดีจากการลงทุนในกองทุนรวมต่างประเทศ เพื่อส่งเสริมการออมระยะยาวเพื่อการเลี้ยงชีพหลังเกษียณอายุรวมทั้งการได้รับสิทธิประโยชน์ทางภาษีจากการลงทุนในกองทุนของผู้ถือหน่วยลงทุน โดยควรเป็นเงินลงทุนส่วนที่สามารถยอมรับความเสี่ยงจากการลงทุนได้ในระดับสูง โดยผลตอบแทนที่กองทุนจะได้รับส่วนใหญ่มาจากกำไรส่วนต่างของราคาหน่วยลงทุน
<br><br>","FED,RMF","กองทุนรวมฟีดเดอร์,กองทุนรวมเพื่อการเลี้ยงชีพ"
6,M0028_2547,021_2547,2004-03-22,-,กองทุนเปิด ไทย อิควิตี้ฟันด์ - ปันผล,Thai Equity – Dividend Fund,TEF-DIV,RG,C0000000623,N,4,R,N,,,,RS6,,"<p>1. ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้</p>
<p>2. ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน ตราสารหนี้ทั่วไป</p>
<p>3. ผู้ลงทุนที่ยอมรับความเสี่ยงจากการลงทุนได้ในระดับปานกลางถึงค่อนข้างสูง<br></p>",,
7,M0029_2551,080_2551,2008-03-14,-,กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์ควอลิตี้ ออสพิทอลลิตี้,Quality Hospitality Leasehold Property Fund,QHOP,RG,C0000000623,,,R,N,,,,,,,,
8,M0032_2540,013_2540,1997-07-18,-,กองทุนเปิด ไทย บาลานซ์ฟันด์,Thai Balanced Fund,TBF,RG,C0000000623,N,3,R,N,,,,RS5,," <p style=""margin: 0cm 0cm 8pt;""><span>ผู้ลงทุนที่ต้องการผลตอบแทนการลงทุนที่สูงกว่าตราสารหนี้ แต่รับความเสี่ยงได้เพียงระดับปานกลาง</span></p> <br>",,
9,M0034_2543,002_2544,2001-01-26,-,กองทุนเปิด ไทย ตราสารหนี้,Thai Fixed Income Fund,TFIF,RG,C0000000623,N,3,R,N,,,,RS4,,"1.	ผู้ลงทุนที่คาดหวังผลตอบแทนที่สูงกว่าเงินฝาก และยอมรับผลตอบแทนที่อาจต่ำกว่าหุ้นได้
<br>
2.	ผู้ลงทุนที่ต้องการสภาพคล่องในการซื้อขายไถ่ถอนหน่วยลงทุนได้ทุกวันทำการ โดยจะได้รับเงินคืนภายในวันที่ T + 5
<br>
3.	ผู้ลงทุนบุคคลธรรมดาที่รับความเสี่ยงได้ต่ำ แต่ต้องการแสวงหาผลตอบแทนที่ค่อนข้างสม่ำเสมอในระยะปานกลางถึงระยะยาว
<br>
<br>
<br>
",,
